Backup scan VPS - 2026-06-05
Escopo: arquivos com sufixo/nome de backup e diretórios canônicos; exclui /usr, caches, venv/site-packages, browser snapshots e FS virtuais.
Total: 237 arquivos | Tamanho: 6.8GB | Erros: 0

MODIFICADO          TAMANHO  TIPO               PATH
2026-04-21 23:20       426B  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/a/atari-old
2026-04-21 23:20       992B  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/d/dg6053-old
2026-04-21 23:20      1.4KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/d/dku7102-old
2026-04-21 23:20      1.7KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/h/hft-c-old
2026-04-21 23:20      1.2KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/h/hft-old
2026-04-21 23:20       607B  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/m/minix-old
2026-04-21 23:20       607B  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/m/minix-old-am
2026-04-21 23:20      1.1KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/n/news-old-unk
2026-04-21 23:20      1.4KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/n/nsterm-old
2026-04-21 23:20      1.3KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/o/old-st
2026-04-21 23:20      1.5KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/s/scoansi-old
2026-04-21 23:20       562B  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/s/st52-old
2026-04-21 23:20       650B  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/v/vi300-old
2026-04-21 23:20      1.5KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/v/vt200-old
2026-04-21 23:20      1.5KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/v/vt220-old
2026-04-21 23:20      1.5KB  nome backup        /root/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/share/terminfo/x/xterm-old
2026-04-24 12:39      5.6KB  sufixo explícito   /root/.ssh/known_hosts.old
2026-05-30 01:04    216.3KB  diretório backup   /root/backups/atena-rebuild-20260530/pipeline-repo.tar.gz
2026-05-16 01:58       120B  diretório backup   /root/backups/mgs-agent/mgs-agent-20260516-015805.tgz.sha256
2026-05-16 01:58         0B  diretório backup   /root/backups/mgs-agent/status-20260516-015805.txt
2026-05-16 02:27         0B  diretório backup   /root/backups/mgs-agent/status-rec-runner-opt-20260516-022726.txt
2026-06-02 12:51      1.4GB  nome backup        /root/hermes-profiles-backup-20260602-124938.tar.gz
2026-06-04 22:31      1.8GB  nome backup        /root/hermes-profiles-backup-20260604-222827.tar.gz
2026-05-15 18:55    241.2KB  diretório backup   /root/hermes-update-backups/20260516-124257/discord.py.bak.queue-visible.20260515-185527
2026-05-16 12:42      7.6KB  diretório backup   /root/hermes-update-backups/20260516-124257/hermes-agent-local.diff
2026-05-16 12:42       141B  diretório backup   /root/hermes-update-backups/20260516-124257/hermes-agent-status.txt
2026-06-02 19:56     18.1KB  nome backup        /root/mgs-agent/AGENT.md.bak-20260602-195659
2026-05-17 10:16      3.1KB  diretório backup   /root/mgs-agent/backups/anti-loop-cleanup-20260517-103851/discord-agent-collaboration/SKILL.md
2026-05-17 10:17      1.6KB  diretório backup   /root/mgs-agent/backups/anti-loop-cleanup-20260517-103851/discord-agent-collaboration/references/mention-gating-2026-05-17.md
2026-05-17 10:19      3.7KB  diretório backup   /root/mgs-agent/backups/anti-loop-cleanup-20260517-103851/discord-agent-coordination/SKILL.md
2026-05-17 10:24      2.7KB  diretório backup   /root/mgs-agent/backups/anti-loop-cleanup-20260517-103851/discord-agent-coordination/references/confirmation-loop-2026-05-17.md
2026-05-17 10:23      2.5KB  diretório backup   /root/mgs-agent/backups/anti-loop-cleanup-20260517-103851/references/agent-mention-gate-2026-05-17.md
2026-06-03 14:40      3.2KB  diretório backup   /root/mgs-agent/backups/crontab-root-20260603-144027.bak
2026-06-03 15:12      3.4KB  diretório backup   /root/mgs-agent/backups/crontab-root-20260603-151254-webshare-3xday.bak
2026-05-25 18:38      3.2KB  diretório backup   /root/mgs-agent/backups/crontab/root-crontab-after-cleanup-log-20260525-183834.txt
2026-05-25 18:38      3.1KB  diretório backup   /root/mgs-agent/backups/crontab/root-crontab-before-cleanup-log-20260525-183834.txt
2026-05-26 13:29    274.3KB  diretório backup   /root/mgs-agent/backups/discord-adapter-before-thread-auto-add-explicit-20260526-132902.py
2026-06-04 19:59      6.2KB  diretório backup   /root/mgs-agent/backups/hermes-auth-20260604-222827/root/.hermes/auth.json
2026-06-04 19:55       777B  diretório backup   /root/mgs-agent/backups/hermes-auth-20260604-222827/root/.hermes/profiles/ares/auth.json
2026-06-04 20:00      5.3KB  diretório backup   /root/mgs-agent/backups/hermes-auth-20260604-222827/root/.hermes/profiles/atena/auth.json
2026-06-04 19:57       777B  diretório backup   /root/mgs-agent/backups/hermes-auth-20260604-222827/root/.hermes/profiles/zeus/auth.json
2026-05-26 15:29         0B  diretório backup   /root/mgs-agent/backups/hermes-update-20260526-152747/apply-check.stderr
