domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.lv,REC,UTUA_P1,ge,emp,Basis Bank Self Employed,basis-bank-self-employed,ge-emp-basis-bank-self-employed,ge-emp-basis-bank-self-employed-p1,https://utua.lv/ge-emp-basis-bank-self-employed-p1/,https://utua.lv/ge-emp-basis-bank-self-employed-p1/,https://utua.lv/ge-emp-basis-bank-self-employed-p2/,ge-emp-basis-bank-self-employed-p2,REC+P1,2025-03-25T22:21:22+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Basis Consumer Loan,basis-consumer-loan,ge-emp-basis-consumer-loan,ge-emp-basis-consumer-loan-p1,https://utua.lv/ge-emp-basis-consumer-loan-p1/,https://utua.lv/ge-emp-basis-consumer-loan-p1/,https://utua.lv/ge-emp-basis-consumer-loan-p2/,ge-emp-basis-consumer-loan-p2,REC+P1,2025-03-13T15:02:19+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Basis Mortgage,basis-mortgage,ge-emp-basis-mortgage,ge-emp-basis-mortgage-p1,https://utua.lv/ge-emp-basis-mortgage-p1/,https://utua.lv/ge-emp-basis-mortgage-p1/,https://utua.lv/ge-emp-basis-mortgage-p2/,ge-emp-basis-mortgage-p2,REC+P1,2025-03-13T15:22:22+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Credo Agro Loan,credo-agro-loan,ge-emp-credo-agro-loan,ge-emp-credo-agro-loan-p1,https://utua.lv/ge-emp-credo-agro-loan-p1/,https://utua.lv/ge-emp-credo-agro-loan-p1/,https://utua.lv/ge-emp-credo-agro-loan-p2/,ge-emp-credo-agro-loan-p2,REC+P1,2025-04-02T14:01:39+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Credo Auto Loan,credo-auto-loan,ge-emp-credo-auto-loan,ge-emp-credo-auto-loan-p1,https://utua.lv/ge-emp-credo-auto-loan-p1/,https://utua.lv/ge-emp-credo-auto-loan-p1/,https://utua.lv/ge-emp-credo-auto-loan-p2/,ge-emp-credo-auto-loan-p2,REC+P1,2025-04-01T18:50:39+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Credo Consumer Loan,credo-consumer-loan,ge-emp-credo-consumer-loan,ge-emp-credo-consumer-loan-p1,https://utua.lv/ge-emp-credo-consumer-loan-p1/,https://utua.lv/ge-emp-credo-consumer-loan-p1/,https://utua.lv/ge-emp-credo-consumer-loan-p2/,ge-emp-credo-consumer-loan-p2,REC+P1,2025-03-13T15:42:01+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Credo Digital Loan,credo-digital-loan,ge-emp-credo-digital-loan,ge-emp-credo-digital-loan-p1,https://utua.lv/ge-emp-credo-digital-loan-p1/,https://utua.lv/ge-emp-credo-digital-loan-p1/,https://utua.lv/ge-emp-credo-digital-loan-p2/,ge-emp-credo-digital-loan-p2,REC+P1,2025-03-13T16:05:00+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Credo Mortgage Loan,credo-mortgage-loan,ge-emp-credo-mortgage-loan,ge-emp-credo-mortgage-loan-p1,https://utua.lv/ge-emp-credo-mortgage-loan-p1/,https://utua.lv/ge-emp-credo-mortgage-loan-p1/,https://utua.lv/ge-emp-credo-mortgage-loan-p2/,ge-emp-credo-mortgage-loan-p2,REC+P1,2025-04-01T18:58:53+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Credo Salary Loan,credo-salary-loan,ge-emp-credo-salary-loan,ge-emp-credo-salary-loan-p1,https://utua.lv/ge-emp-credo-salary-loan-p1/,https://utua.lv/ge-emp-credo-salary-loan-p1/,https://utua.lv/ge-emp-credo-salary-loan-p2/,ge-emp-credo-salary-loan-p2,REC+P1,2025-04-02T14:09:54+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Credo Student Loan,credo-student-loan,ge-emp-credo-student-loan,ge-emp-credo-student-loan-p1,https://utua.lv/ge-emp-credo-student-loan-p1/,https://utua.lv/ge-emp-credo-student-loan-p1/,https://utua.lv/ge-emp-credo-student-loan-p2/,ge-emp-credo-student-loan-p2,REC+P1,2025-04-01T19:09:19+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Halybank Consumer Loan,halybank-consumer-loan,ge-emp-halybank-consumer-loan,ge-emp-halybank-consumer-loan-p1,https://utua.lv/ge-emp-halybank-consumer-loan-p1/,https://utua.lv/ge-emp-halybank-consumer-loan-p1/,https://utua.lv/ge-emp-halybank-consumer-loan-p2/,ge-emp-halybank-consumer-loan-p2,REC+P1,2025-03-14T19:35:41+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Liberty Auto Loan,liberty-auto-loan,ge-emp-liberty-auto-loan,ge-emp-liberty-auto-loan-p1,https://utua.lv/ge-emp-liberty-auto-loan-p1/,https://utua.lv/ge-emp-liberty-auto-loan-p1/,https://utua.lv/ge-emp-liberty-auto-loan-p2/,ge-emp-liberty-auto-loan-p2,REC+P1,2025-03-31T21:48:07+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Liberty Consumer Loan,liberty-consumer-loan,ge-emp-liberty-consumer-loan,ge-emp-liberty-consumer-loan-p1,https://utua.lv/ge-emp-liberty-consumer-loan-p1/,https://utua.lv/ge-emp-liberty-consumer-loan-p1/,https://utua.lv/ge-emp-liberty-consumer-loan-p2/,ge-emp-liberty-consumer-loan-p2,REC+P1,2025-02-18T16:27:38+00:00,,https://utua.lv/post-sitemap6.xml
utua.lv,REC,UTUA_P1,ge,emp,Liberty Gold Pawn,liberty-gold-pawn,ge-emp-liberty-gold-pawn,ge-emp-liberty-gold-pawn-p1,https://utua.lv/ge-emp-liberty-gold-pawn-p1/,https://utua.lv/ge-emp-liberty-gold-pawn-p1/,https://utua.lv/ge-emp-liberty-gold-pawn-p2/,ge-emp-liberty-gold-pawn-p2,REC+P1,2025-03-20T17:26:54+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Liberty Mortgage Loan,liberty-mortgage-loan,ge-emp-liberty-mortgage-loan,ge-emp-liberty-mortgage-loan-p1,https://utua.lv/ge-emp-liberty-mortgage-loan-p1/,https://utua.lv/ge-emp-liberty-mortgage-loan-p1/,https://utua.lv/ge-emp-liberty-mortgage-loan-p2/,ge-emp-liberty-mortgage-loan-p2,REC+P1,2025-02-28T10:28:38+00:00,,https://utua.lv/post-sitemap6.xml
utua.lv,REC,UTUA_P1,ge,emp,Liberty Overdraft,liberty-overdraft,ge-emp-liberty-overdraft,ge-emp-liberty-overdraft-p1,https://utua.lv/ge-emp-liberty-overdraft-p1/,https://utua.lv/ge-emp-liberty-overdraft-p1/,https://utua.lv/ge-emp-liberty-overdraft-p2/,ge-emp-liberty-overdraft-p2,REC+P1,2025-03-20T17:13:56+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Liberty Pay Later,liberty-pay-later,ge-emp-liberty-pay-later,ge-emp-liberty-pay-later-p1,https://utua.lv/ge-emp-liberty-pay-later-p1/,https://utua.lv/ge-emp-liberty-pay-later-p1/,https://utua.lv/ge-emp-liberty-pay-later-p2/,ge-emp-liberty-pay-later-p2,REC+P1,2025-03-20T18:21:31+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Liberty Simplified Loan,liberty-simplified-loan,ge-emp-liberty-simplified-loan,ge-emp-liberty-simplified-loan-p1,https://utua.lv/ge-emp-liberty-simplified-loan-p1/,https://utua.lv/ge-emp-liberty-simplified-loan-p1/,https://utua.lv/ge-emp-liberty-simplified-loan-p2/,ge-emp-liberty-simplified-loan-p2,REC+P1,2025-02-28T10:46:09+00:00,,https://utua.lv/post-sitemap6.xml
utua.lv,REC,UTUA_P1,ge,emp,Liberty Truck Secured,liberty-truck-secured,ge-emp-liberty-truck-secured,ge-emp-liberty-truck-secured-p1,https://utua.lv/ge-emp-liberty-truck-secured-p1/,https://utua.lv/ge-emp-liberty-truck-secured-p1/,https://utua.lv/ge-emp-liberty-truck-secured-p2/,ge-emp-liberty-truck-secured-p2,REC+P1,2025-04-01T18:40:25+00:00,,https://utua.lv/post-sitemap5.xml
utua.lv,REC,UTUA_P1,ge,emp,Procredit Consumer Loan,procredit-consumer-loan,ge-emp-procredit-consumer-loan,ge-emp-procredit-consumer-loan-p1,https://utua.lv/ge-emp-procredit-consumer-loan-p1/,https://utua.lv/ge-emp-procredit-consumer-loan-p1/,https://utua.lv/ge-emp-procredit-consumer-loan-p2/,ge-emp-procredit-consumer-loan-p2,REC+P1,2025-02-18T16:59:41+00:00,,https://utua.lv/post-sitemap6.xml
