drive_id,parent_path,old_name,new_name,old_path,new_path,reason,createdTime,md5Checksum,size
1mWxlXeNAbnwcBbIQ3Tu9CeNns57OArOf,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_APROBACION_PV_001__dupname002.mp4,CC_DE_DE_VID_APROBACION_PV_012.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_012.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:21:05.947Z,64a4a0fb3bc9108ee619912c42c62e1a,10124167
1sbZt7d6nWgG19nqQv0fPkwuImRWaCAec,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_APROBACION_PV_002__dupname002.mp4,CC_DE_DE_VID_APROBACION_PV_013.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_013.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:21:11.125Z,29c563692164001dabb6023ddde4b7e7,9052984
1mPloUQBA9ZM3meRNF_RArApL2AKPxIej,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_APROBACION_PV_003__dupname002.mp4,CC_DE_DE_VID_APROBACION_PV_014.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_003__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_014.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:21:15.749Z,087467f2d8b5ffd8f5e0cd996ca8f40e,9340625
1oFwMf9qTRBwDt_wcIRrxPbarYMb69w6S,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_APROBACION_PV_004__dupname002.mp4,CC_DE_DE_VID_APROBACION_PV_015.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_004__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_015.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:21:19.717Z,d5cc5269b253772108fa96bc8c56f90d,7990331
1sbL58yZ7Qrh9VUsGKnr064cFXp4-K7sl,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_APROBACION_PV_005__dupname002.mp4,CC_DE_DE_VID_APROBACION_PV_016.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_005__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_016.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:21:24.017Z,2d72ff0d59e00dce4a982a3559418f2a,9535320
1PfPzJUJpubjHXhdCDNmjghYszURUVEqr,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_APROBACION_PV_006__dupname002.mp4,CC_DE_DE_VID_APROBACION_PV_017.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_006__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_017.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:52:17.099Z,11d2ef4c9bd38cd286c9e894b1294223,1742257
1lSB61NO0zhSw_cyV2qV1mf7RAPu2c1aI,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_APROBACION_PV_007__dupname002.mp4,CC_DE_DE_VID_APROBACION_PV_018.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_007__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_018.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:52:20.867Z,5de716b3d58580ec5085eed1a1d8b43b,1906321
1rMeC_2ZCj-FPJnfUObAW8s7Ikqz44NIr,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_APROBACION_PV_008__dupname002.mp4,CC_DE_DE_VID_APROBACION_PV_019.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_008__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_019.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:52:24.534Z,84deadb33c0639e4db8d7c84cc284369,1710815
1S4y3-fTb5XOMR5JVevff7FWku0Lz1qTI,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_LIMITE_ALTO_PV_001__dupname002.mp4,CC_DE_DE_VID_LIMITE_ALTO_PV_008.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_008.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:22:21.386Z,dcf72106f46495bfeccf7539572379d4,9521164
1AHbNgQvKMfWTKx7gIK3yMo58MPGCTdWZ,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_LIMITE_ALTO_PV_002__dupname002.mp4,CC_DE_DE_VID_LIMITE_ALTO_PV_009.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_009.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:22:25.771Z,a2a5e8eaaacd61f6903fa06c0c1b2321,9955602
