ts_utc,status,idx,drive_id,old_name,new_name,target_folder,decision,verified_name,verified_parent,error
2026-06-15T22:00:46.413769+00:00,MOVED_RENAMED,1,1sJYM7jQKWwJTtGz134BZ8yhDXR3WWEiL,Design sem nome__DAG-EMxacUY.png,CC_US_EN_IMG_UNKNOWN_NH_001.png,MGS-CRIATIVOS/REVIEW/IMG/FEED/EN/05_REJECTED,REJECT,CC_US_EN_IMG_UNKNOWN_NH_001.png,11tetpfj4CuXT__zF-4fA41QGcg_qv7vZ,
2026-06-15T22:00:49.759386+00:00,MOVED_RENAMED,2,10lFOzjwsBsXQ7vVwJOtSFoJZ-WCjNQVL,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,CC_US_ES_VID_APROBACION_PV_014.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,PROMOTE,CC_US_ES_VID_APROBACION_PV_014.mp4,1dgaT3fBHFXuYUTZh694mI5PFCV7REave,
2026-06-15T22:00:52.509355+00:00,MOVED_RENAMED,3,1VRUiT2lBpi84-EXvFCZpe5lBE6jifVa2,01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,CC_ZA_EN_VID_LIMITE_ALTO_PV_001.mp4,MGS-CRIATIVOS/CC_ZA_EN/VID/STORY/EN/01_READY_CANDIDATE,PROMOTE,CC_ZA_EN_VID_LIMITE_ALTO_PV_001.mp4,1tNSiDqCta-EQXPmd_RrtukHwfxOFwRim,
2026-06-15T22:00:58.043347+00:00,MOVED_RENAMED,4,1Foyq97vN6m6V_q6BWGQVULvKo6-1BrNo,01 - IA - Story Ingles GB.mp4,CC_GB_EN_VID_APROBACION_PV_001.mp4,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,PROMOTE,CC_GB_EN_VID_APROBACION_PV_001.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:01:02.415511+00:00,MOVED_RENAMED,5,1J8vG19muUDcJzEnrS-SVdhmx_PmwmNOM,02 - IA - Story Ingles GB.mp4,CC_GB_EN_VID_APROBACION_PV_002.mp4,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,PROMOTE,CC_GB_EN_VID_APROBACION_PV_002.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:01:03.734368+00:00,MOVED_RENAMED,6,1x5u-aYzJJfTI2RIwpuNvgh8UCJSN7j3F,03 - IA - Story Ingles GB.mp4,CC_GB_EN_VID_APROBACION_PV_003.mp4,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,PROMOTE,CC_GB_EN_VID_APROBACION_PV_003.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:01:04.808122+00:00,MOVED_RENAMED,7,1J6CJX3w4zEc4jbaHl7iixQBzDe5ju9t6,04 - IA - Story Ingles GB.mp4,CC_GB_EN_VID_APROBACION_PV_004.mp4,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,PROMOTE,CC_GB_EN_VID_APROBACION_PV_004.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:01:05.969642+00:00,MOVED_RENAMED,8,1wPVXa3NmhUAETibrDZJofNw9ryw2ZOo-,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,CC_GB_EN_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,PROMOTE,CC_GB_EN_VID_APROBACION_PV_005.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
