ts_utc,queue_id,status,source_drive_id,dest_drive_id,destination_folder,destination_filename,source_sha256,clean_sha256,bytes_clean,error
2026-06-15T03:09:18.750846+00:00,240ba3eaada984de,UPLOADED,1J8vG19muUDcJzEnrS-SVdhmx_PmwmNOM,1MpBOndN8_06xDqSV9LZxXzn379b6GYDn,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,02 - IA - Story Ingles GB.mp4,76ed9298534c4c48e4f85d76495a70bc711d3cf0227f16c812951896400d2a8a,6e4bde0880570cc96b4ed1db2707e49b85d54dcddb9cd0db5597cb6dbcfe48bc,9828382,
2026-06-15T03:09:23.038397+00:00,70d6b67172ae47d8,UPLOADED,1x5u-aYzJJfTI2RIwpuNvgh8UCJSN7j3F,1kL7Djf_EwtbmHubMPjpXUzKJWMSzyd6A,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,03 - IA - Story Ingles GB.mp4,b332162947c0b44f1be2bbbe63eb2d335cc96e5651dfad5b0f5b04d456cdded3,5c10dfd46b02287d1899ffc6dfdc34df15e709ad250fcc76a69b27475d45fba0,10083786,
2026-06-15T03:09:26.987472+00:00,ee5f602a1479e5ec,UPLOADED,1J6CJX3w4zEc4jbaHl7iixQBzDe5ju9t6,1_g2yH9UJ9HB1J5dEu8GqMsdbnhLIXovc,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,04 - IA - Story Ingles GB.mp4,f1d9eb04454e94a00c721227952c22af450cb3747b9977c265d0f2d4f59828b3,e85cd48ad2710f8b62e5e65ef1c559b7107662566962e19db26e879094584173,8716500,
2026-06-15T03:09:30.911206+00:00,299684e481ce9f92,UPLOADED,1dhwEQ2IwXMmgxfldT3XsN2pBD70PH99L,1kRZMQnTznemqtY_6DHtueTo17qaa4QG3,MGS-CRIATIVOS/REVIEW/VID/STORY/DE/00_REVIEW,09 - IA - Story Mexico__DAHFbtG9ADQ.mp4,55dfc712c957735b45119a95bfb4008feed16b8e5d7094a3376f66d38e64dfe6,d89bda999b61708315e87bb759822d795c7158a449c8e8e30ea8ce169c01d05b,7373994,
2026-06-15T03:09:35.381497+00:00,082e04b7e4c3a0a9,UPLOADED,1wPVXa3NmhUAETibrDZJofNw9ryw2ZOo-,1GFJ5i5fKf1pSsDtgZB9qHlQVgg78IX-g,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,70ee6e3f18be68e70c4fa95616135dc3d0921f3a7bc96fb731d6beee7d173011,b858b94fec404c57480d0b80648b73034c03bbc20c15b0f799c4277e274efa76,8553617,
2026-06-15T03:09:39.363343+00:00,78e4275406ec4e7a,UPLOADED,13yY_KgI7fXXzF_2Tx7bNI9foq5eP9jMU,1NIodjne8ehrCEC5eKLlNbKp2nShGAegZ,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,14 - IA - Story GB ingles__DAHGC9hLIVY.mp4,56c044e8dd3a00f8ec22671ee1326856f295a72f9075d72be87b9f651f73f176,759c21e3faa9f5e6633043a4e28346545077979041f912b49586823864c9e1be,7432687,
2026-06-15T03:09:43.623051+00:00,6fa3dfb370561190,UPLOADED,1w3lNsUP81CmVENrgmADP4fNYHT8laGpt,1NRfmsI3zSzbxrujic1Z7kCBKUrgTe8Ps,MGS-CRIATIVOS/REVIEW/VID/STORY/DE/00_REVIEW,15 - IA - Story Mexico__DAHFcoYzl48.mp4,b644fed114e991c7589d22684d323877d53bdb5ff9a69723b61c1119c329b93f,11f1c4ae3af30f92e4150c3cf1cc24495748c16b3955fb77200edcfce43825dc,14550904,
2026-06-15T03:09:48.002759+00:00,e1c0b9af6f7575af,UPLOADED,1PFohHRc6uxkcsiniTc4Y0gZbuGSM_k26,1gEw38Uqi-PdnD7N0cn0f2Ml-ruskCoq2,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,17 - IA - Story GB ingles__DAHGFgwdgbs.mp4,da7208ed830118e647fb597564f484b13d7945a6eb7b72ee814980f430090d0a,a723fc64e90125e4e29f8af90400fe72e45ac2c3808798a6a798f35aae36b5e6,11244112,
2026-06-15T03:09:51.989367+00:00,ecd2440d4d2aeab6,UPLOADED,1zUJZxzOcgAdF3j3DqXNgZ8_DpxNEqW4a,19tUeJVk4H_2SXuuMBviUljEKZpNtDZId,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,18 - Story ingles__DAHCMud9RN8.mp4,b777568724f07138c342e78404d7e133b337bef924b6bbb62fcb6121fa023ff3,a4d32ea5fc9848b56fa81a9a2afed48f529e44b3f3c9ee19a9e8d89127630b58,8298386,
2026-06-15T03:09:56.215820+00:00,b05179af3fec2fca,UPLOADED,1Vl5pWx31Y1tH_ZQnaryWMlummajmmbWc,1inY5eWi7BxJucozcOoQHU6oqN_agUxi_,MGS-CRIATIVOS/REVIEW/VID/STORY/DE/00_REVIEW,40 - IA - Story Mexico__DAHGGRXYFdY.mp4,cf5ad6a72e2e2f343cbbcf31af0569e8fe2928f32d4f54e3120fa88f11132434,c5a898b47be1b63ad3334131c2ee4e737c5c3efe8a06b7a00bbe54d087631c89,8706567,
2026-06-15T03:10:00.501237+00:00,d954e4755ce8d832,UPLOADED,11KcqGaC1UyFeQcca3GOxf22-ErLEiQSi,1iLk4ByUGGeA4LC4SCMQ_MdU0HGMzfeXQ,MGS-CRIATIVOS/REVIEW/VID/STORY/ES/00_REVIEW,42 - IA - Story Espanhol__DAHIQeHhzZ8.mp4,b320f00884c15e37b6b11002087b4bf4e5bf24407fb0832748a910b4bbaf6fc4,69584afa690d0ab88db1633992e01102585ef1a1ffff8b36109dd6f65e44e623,9900669,
2026-06-15T03:10:04.685048+00:00,d174d1c565871d88,UPLOADED,1Fae6k2NrPQOMuNVQuxzdjj1LRNu_XIqg,1odCmve9ZFjDeSZyDVuiGCGqui045HL-3,MGS-CRIATIVOS/REVIEW/VID/STORY/ES/00_REVIEW,43 - IA - Story Espanhol__DAHIQRJvodY.mp4,2407c70581269e71b158241eb9d7be7a1f64f9c640ef48a8cfc83799c1e1ff12,8a0bb1ab28e55928c290a90169fbbeda43956bab13b9657c318f0965316091a3,11421855,
2026-06-15T03:10:09.666214+00:00,46215505b20ee4b4,UPLOADED,1TlSlHxBcqBx28sGhPkyw-b07J6v9GS1O,1UbcQosc7fzn6S8wVYE7SVE837nurFUc4,MGS-CRIATIVOS/REVIEW/VID/STORY/ES/00_REVIEW,44 - IA - Story Espanhol__DAHIXBLEnN0.mp4,fe490ec42147e486b6ebceb34fe22dd65a4f54ff6cb98b830f27277353f92c3d,582d64cd926d3e7f8f6d4fa54c6be414985263f5b5f89ee5fb46eb73094e2ac8,8438880,
2026-06-15T03:10:13.805422+00:00,713a33d6300ae129,UPLOADED,1fSx1fL_4g2k8cQfWl4NuwlBxlOMNuUfi,1_yNkBGRiiVX9THEb5Fo89hkKCyNlw3Qo,MGS-CRIATIVOS/REVIEW/VID/STORY/ES/00_REVIEW,45 - IA - Story Espanhol__DAHIXI_HCKY.mp4,c733b7ba0b6b977ad6f29c9a05567db7a9a99b20c65b683952ae10d98d157ce1,186fdd94065439a806281fdc4eedfafd782a13fa800602917fcbac88da382dc0,11484277,
2026-06-15T03:10:17.932225+00:00,0b6527ee7c6b7583,UPLOADED,1xiaKEl3PkLLEzIHK4ss7phNFNBToBnZ0,1fY1cACgSHtSHCowYS1iIoSFgml42VmhT,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,80 - IA - Story Ingles__DAHEymEDHus.mp4,e8ba3eee4393ea35a0d22bdc142766bc25afd13764621f417e242b6f5e7e471f,095577e6ae2006970d8e960c53cd91c2b06ac510b453c4c47e6b182fc086237f,7935596,
2026-06-15T03:10:22.182361+00:00,97ee37ccfc55263e,UPLOADED,14JcD8slyA-SkWtf5wycQ5bKIMGERK8Jq,1AyuswWGnBYuHqcm2MaD2Ha9BwnuOCW01,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,82 - IA - Story Ingles__DAHEy46gSsk.mp4,7f950cef313624c8a2c32151d911b6ca06cacd92d39fd193ca4b840907274c16,349a0ebb6e1fafcea9564e709e6aed90f644b23840378ff20c33459273208c29,12533931,
2026-06-15T03:10:26.656940+00:00,d0295f8b0b1c1545,UPLOADED,1ZvTSVraqnFtNz4dKCNAYeykESxezJ-HB,1tm6Wg0HSym0qu3xepXp0jb35x17mH72T,MGS-CRIATIVOS/REVIEW/VID/STORY/ES/00_REVIEW,101 - Story espanhol__DAHAgX6DO30.mp4,811845b68eead5f67b90a0ba1441efe36fb29d00f0816cf670bf93fbe032f01a,c71ce9f672066fb48ad9769f2a752bebd55d838e357fdc64e6a7bae062213060,14281539,
2026-06-15T03:10:30.963914+00:00,9df3499f0aaaeff3,UPLOADED,17y0yH1c3gielpMixBRSuxyaIB2CtYxV7,11ud0y4-OEmgpFQznh4Lj3w2Dv0y7v-j6,MGS-CRIATIVOS/REVIEW/VID/STORY/ES/00_REVIEW,Copia de 101 - Story espanhol__DAHAglCgVNA.mp4,acf8180082a2187affb0dc7758dbb3d90e27db61fef2d87daeca49b2756b6ae4,8021f78ff06fab13575e9e5dc3efe77fabe3466ed5c372b7759fb53ded810dce,11869744,
