drive_id,filename,relative_path,format,width,height,placement_fit,vertical_guess,language_guess,name_status,issues,recommended_action
1Y-7wszsm_CJ12MNal3GDiFYTa9FxW2wh,03 INGLES - FD.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 INGLES - FD.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1wQ1b9uDCtGCDgFEfUBqyHMT7mIiE2CJl,03 Trabalho - Feed ingles__DAGfG0b0n7g.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 Trabalho - Feed ingles__DAGfG0b0n7g.png,IMG,1080,1080,FEED,JOBS,EN,NONCANONICAL_RAW,NONCANONICAL_RAW;VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1MpnTPJUeHEzjoOwIOUjTdmvwhgbBKj7h,03-criativonovo-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03-criativonovo-feed.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
10qqrhWZfxy2mhoKys__8fWizWHF-X7Qg,3-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/3-feed.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1NBBgxwFXQXrIEdCZvcrKGe_pfJXMYIbX,3.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/3.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1Eg4hBKZvH4WFFs-H7sufJtVYVahOZdt_,04 - Feed Ingles__DAGS_fR-1sI.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/04 - Feed Ingles__DAGS_fR-1sI.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1TOlULnGmvFL8l_NoUodoeF-x38lyBBcg,04 Trabalho - Feed ingles__DAGfGuoEqjE.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/04 Trabalho - Feed ingles__DAGfGuoEqjE.png,IMG,1080,1080,FEED,JOBS,EN,NONCANONICAL_RAW,NONCANONICAL_RAW;VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1kowIUy0SGtcZdophx6oQVcsFPRSZSo6E,4.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/4.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1IyalTotR4pvzBKIUEVKF9S9lvMpAL3Gl,05 - Feed espanhol__DAHJAHVWoPE.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 - Feed espanhol__DAHJAHVWoPE.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1vDfheAOAhczlAfw1LDjR_dl9BgHxS2Bw,05 - Feed Ingles__DAGS_bKcPSg.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 - Feed Ingles__DAGS_bKcPSg.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
18eeGmUDJUINupUY5sljyPxju8Vyf7HJ0,05 Trabalho - Feed ingles__DAGfHBBYyZo.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 Trabalho - Feed ingles__DAGfHBBYyZo.png,IMG,1080,1080,FEED,JOBS,EN,NONCANONICAL_RAW,NONCANONICAL_RAW;VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1LcRnZYIYWzjEEtqcnqSB7afS0ITA-uB0,05-criativonovo-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/05-criativonovo-feed.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1N_4BsW7hVJ_jR4rQcnXk2O9X-BVNxtEt,5-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/5-feed.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1nnzUwGLvXk3A-LMVF3hLlCmNnbNxiRrj,06-criativonovo-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/06-criativonovo-feed.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1imC2or9DgE26aAZzRnBOupbR8A5-Hnr8,08 - Feed ingles__DAGVqdXP8jI.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/08 - Feed ingles__DAGVqdXP8jI.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1JnnBMeaTBJolIlqNEsuiQWvxWk8u9m0L,09 - Feed alemanha__DAGSc0eVkGQ.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/09 - Feed alemanha__DAGSc0eVkGQ.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1VIoMBO06NyHteN-Pjon313VBf_si-VPC,09 - Feed ingles__DAGVqU2gobM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/09 - Feed ingles__DAGVqU2gobM.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1p2y-wfaPAIzOxvV-BN33e-aL0sMfvd2k,10 - Feed alemanha__DAGS7LDcKpg.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/10 - Feed alemanha__DAGS7LDcKpg.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1f9sWR4dAIuMbDohnprtFrCZmm5ooifB1,10 - Feed ingles__DAGVqflee04.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/10 - Feed ingles__DAGVqflee04.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1NgBzP5trKVew-2Ly1mwVrOFcfqm9GUAm,11 - Feed alemanha__DAGS7BtAVDM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/11 - Feed alemanha__DAGS7BtAVDM.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1hR6zY-qJw98PIXs2R4gqpQ3tbzeYmpb6,11- Feed ingles__DAGVqXLzo2Y.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/11- Feed ingles__DAGVqXLzo2Y.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
13QtWaqK0ZfIxwlPLDKv3umyFfy8dZnFk,12- Feed ingles__DAGVqac20xY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/12- Feed ingles__DAGVqac20xY.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1yycJe4cfnQer5cloulhAMvk7AR6KULBP,13 - Feed espanhol__DAGS2E3yh3U.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/13 - Feed espanhol__DAGS2E3yh3U.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
19W5MmR2j-MBHQXuEvB8MzYlA6nY97zlo,13 - Feed ingles__DAGVqleiX40.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/13 - Feed ingles__DAGVqleiX40.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1vZDCBgEq7aScq31ZZioTMjgaeKyN0HDh,14 - Feed espanhol__DAGS2GtZn7s.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/14 - Feed espanhol__DAGS2GtZn7s.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1eg00hODMeD3bqMXFHMObF0KwPE4NCGnJ,14 - Feed ingles__DAGVwgtw7O8.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/14 - Feed ingles__DAGVwgtw7O8.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1DrfGYnwE1ZufWZRi-WWUtleFd48FeK7_,15 - Feed espanhol__DAGS2Jy8x30.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed espanhol__DAGS2Jy8x30.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1SXnQyVzvql2P949fZpmG4znBc2ewad7a,15 - Feed espanhol__DAGS57LwJiU.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed espanhol__DAGS57LwJiU.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
