status,disposition,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,product_type,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink,raw_legacy_verified
01_READY,EXACT_DUPLICATE_SOURCE_ALIAS,1fBR1OY3r7XHjHq40cXqzifqz78flmqB7,9_75 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,165ttCV0XujRHOfjMIQaf3HnW1hoIhQrK,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_003.mp4,b553228bc31a4d8e9bbed836adb7fcbe05e8f42c96bb741b280d6f0910f5e595,e240a5bbe8edd110031283c5cc922af1c3946dfcfad1a1c820f03c7af50c5fd8,2e0a10009157759246383ce641864863,4908830,True,True,True,POWER_BANK,PERSON,PV,FREE_POWER_BANK,003,FREE POWER BANK,dhash64:018c061b64681ef2/970e96313318c9ec/908c46609d273018,https://drive.google.com/file/d/165ttCV0XujRHOfjMIQaf3HnW1hoIhQrK/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1A0O379uAYC5Fe9HsgiOAWfQV4Rx2UnfI,12_80 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,1J-rPOszypuvhbz2F1_PtEvD3Rus2RGNi,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_004.mp4,29284378c277cea94c262ea065787878280e57785f7b1dc0b25c79c79c9ef036,df0688df9a8d8ea495c541840ef8deb09fe6b0cc1654128f0c548f0b23cc5ebf,d90a04ce21b835be4ead5583a6b9a81a,5464306,True,True,True,POWER_BANK,PERSON,PV,FREE_POWER_BANK,004,FREE POWER BANK,dhash64:43079e19d8fe1f0e/4f4e15cfc767b6b7/00409e1e0d011084,https://drive.google.com/file/d/1J-rPOszypuvhbz2F1_PtEvD3Rus2RGNi/view?usp=drivesdk,True
01_READY,EXACT_DUPLICATE_SOURCE_ALIAS,1jRL__tI6l9kWcFHqOhpoZqanzzZhaWOp,12_80 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,1J-rPOszypuvhbz2F1_PtEvD3Rus2RGNi,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_004.mp4,29284378c277cea94c262ea065787878280e57785f7b1dc0b25c79c79c9ef036,df0688df9a8d8ea495c541840ef8deb09fe6b0cc1654128f0c548f0b23cc5ebf,d90a04ce21b835be4ead5583a6b9a81a,5464306,True,True,True,POWER_BANK,PERSON,PV,FREE_POWER_BANK,004,FREE POWER BANK,dhash64:43079e19d8fe1f0e/4f4e15cfc767b6b7/00409e1e0d011084,https://drive.google.com/file/d/1J-rPOszypuvhbz2F1_PtEvD3Rus2RGNi/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1ZzqXEiSXM6rx8LTOk3bC1oi0iuQ7gaun,13_79 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,1MUJK924TvBKRl2UvyMLp0CQRiuyo9tah,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_005.mp4,f8403eb24fcd70f3ad786362a3e9cc796e4f893f9232d2a1fd89f31f6b8d7316,f12cb9fa0c73a7bf9cd4e9b4ebc15a37cc79e7b37956c14023f20e3361f55a1f,19acef4aa3a1faa95d0370c717a93996,4431064,True,True,True,POWER_BANK,PERSON,PV,FREE_POWER_BANK,005,FREE POWER BANK,dhash64:248c0fb3f0788f3f/4b0f9649741e99dc/ca4e97232101139e,https://drive.google.com/file/d/1MUJK924TvBKRl2UvyMLp0CQRiuyo9tah/view?usp=drivesdk,True
01_READY,EXACT_DUPLICATE_SOURCE_ALIAS,1tsufQU0z1oSPeqw0FLq3VCrX8pFviTSJ,13_79 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,1MUJK924TvBKRl2UvyMLp0CQRiuyo9tah,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_005.mp4,f8403eb24fcd70f3ad786362a3e9cc796e4f893f9232d2a1fd89f31f6b8d7316,f12cb9fa0c73a7bf9cd4e9b4ebc15a37cc79e7b37956c14023f20e3361f55a1f,19acef4aa3a1faa95d0370c717a93996,4431064,True,True,True,POWER_BANK,PERSON,PV,FREE_POWER_BANK,005,FREE POWER BANK,dhash64:248c0fb3f0788f3f/4b0f9649741e99dc/ca4e97232101139e,https://drive.google.com/file/d/1MUJK924TvBKRl2UvyMLp0CQRiuyo9tah/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1-sIYy5VFPrPdiEuGypkkuS-VTrQl9XmC,14_78 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,1s54SkSXfA_tfc8eIXR_vVHFUTHwuF54G,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_006.mp4,1d89b749a413a3ac73078d721af6a1166867272296a20cedd423116497fb8138,86ddd33ad3afb05b3b33ae823c6430b3e08410141b2b9c835a8b3ff5016bfdd4,1eb831a3ad4236ee494b300b05c23b5e,5594889,True,True,True,POWER_BANK,PERSON,PV,FREE_POWER_BANK,006,FREE POWER BANK,dhash64:041411f0703100b3/83daaca57c3d250c/23e134981b37a6c6,https://drive.google.com/file/d/1s54SkSXfA_tfc8eIXR_vVHFUTHwuF54G/view?usp=drivesdk,True
01_READY,EXACT_DUPLICATE_SOURCE_ALIAS,1gYKUM1VXTowDnc9GY1laM-Ubinrcta2W,14_78 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,1s54SkSXfA_tfc8eIXR_vVHFUTHwuF54G,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_006.mp4,1d89b749a413a3ac73078d721af6a1166867272296a20cedd423116497fb8138,86ddd33ad3afb05b3b33ae823c6430b3e08410141b2b9c835a8b3ff5016bfdd4,1eb831a3ad4236ee494b300b05c23b5e,5594889,True,True,True,POWER_BANK,PERSON,PV,FREE_POWER_BANK,006,FREE POWER BANK,dhash64:041411f0703100b3/83daaca57c3d250c/23e134981b37a6c6,https://drive.google.com/file/d/1s54SkSXfA_tfc8eIXR_vVHFUTHwuF54G/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1wAR2S6MZ2nW93MnqN-pD1xCLWlGUtw4w,1_68 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1rjGqwMDJahaq0ZPvXgiApqJ7cB0CDNv2,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_001.mp4,0fea014d616d666a66f95fa6c562daaca12714b05861bd781050cae0da1c1619,f297deb7b1bc641b031814eb6296e0fa6ce4235cf29577270e92e2cde57e743d,22e495560b7bd2e0a18c4061112c7d2e,6435771,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,001,FREE TOOLBOX,dhash64:0f0e1e0ce4e0cf7f/ce00062fb7133443/7338925160e00604,https://drive.google.com/file/d/1rjGqwMDJahaq0ZPvXgiApqJ7cB0CDNv2/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1kW9WGTiiqI1YMzraDvhGL4nkWXL4JZ_d,2_70 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1JudwK_4YVbboFWLSVPI4_29zJJFqLRd7,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_002.mp4,b5fd1aa5a9bdeec6d4f27d0570bf2be99ab745560c94f3eb85dd08b658b1c56e,4c9af032e0ca064f62f402966ec7ca60ccc1ac5df62111ca018978148593d54e,5a40fbf41944f5c714a6851237e10c2e,5751309,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,002,FREE TOOLBOX,dhash64:db584c2f7bfcf00f/7274c48701c06e68/d839163614fc8d89,https://drive.google.com/file/d/1JudwK_4YVbboFWLSVPI4_29zJJFqLRd7/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1NvHSGlBLjMdJaG4sB_KLj_R1MPdknojv,3_72 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1MpMV74AmV8oaVH1mvxRBI2b9EJinT_wH,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_003.mp4,c4bb3bb2670da640225c7ce137b0532b34e2639fed5931188c9477861bb4a21e,ba51c435e2368721e559895572dbb7d0703759a369297a7b57ad6a65a7b28b57,310fbad957fc5e6b1faa7e5b5f9c85a8,4902736,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,003,FREE TOOLBOX,dhash64:c7f2215361ecef1e/6db33d8e7638f9e9/c6a3686464416565,https://drive.google.com/file/d/1MpMV74AmV8oaVH1mvxRBI2b9EJinT_wH/view?usp=drivesdk,True
