index,status,disposition,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,vehicle_type,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink
1,01_READY,UNIQUE_READY,1Cgmp7Uv_JIc81s4Xce_SO1tMcJmkD1Qg,1_181  BR_CAR__BR_26-08- IA - Story (BRASIL).mp4,1wwZDLiOaHlCjRonfc8WyHmJis1yOrqhB,CAR_BR_BR_VID_SEM_ENTRADA_NV_082.mp4,87aa9faf9cc969667dbb44d1190b551bcbe6b2f8bae9781b7ef946556c088e7c,26dbb9ca593995562ca02cc48d00d298c3152ef5df99c5b7d1cab2355e4d6610,0797b56bebd1ebf9ca207b213cb7d1f7,8128624,True,True,True,CARRO,NO_PERSON,NV,SEM_ENTRADA,082,ENTRADA R$ 0; OFERTA R$ 349; ECONOMIA,dhash64:477e77ffb3eb1ece/688687f7f38f1e76/47ff3f7b3eccdd14,https://drive.google.com/file/d/1wwZDLiOaHlCjRonfc8WyHmJis1yOrqhB/view?usp=drivesdk
2,01_READY,UNIQUE_READY,1QS_787brrPU5XwlTxviwqkV26DaNKV-E,2_173 BR_CAR__BR_26-08 - IA - Story (BRASIL)) .mp4,1vUr6W4_zhRa8MMiflIvyVWd5IEbYDMvi,CAR_BR_BR_VID_SEM_ENTRADA_NV_083.mp4,2cd334ba4a9db35005f3a703fc3bc548c24d3f461aa4c8b300959d9095cafc3c,78c792676bdde75d18942c2465dc71f28428c852b6388d41ca608a6d1eda4043,f8e1913bfadea8f0d5db737f05b0ab41,9428512,True,True,True,CARRO,NO_PERSON,NV,SEM_ENTRADA,083,GOL COM OFERTA; ZERO DE ENTRADA; R$ 299/MÊS; TODO REVISADO,dhash64:32315f3f0f8fe07c/d15c4d49c9f0a160/174c9cb8d30c36fc,https://drive.google.com/file/d/1vUr6W4_zhRa8MMiflIvyVWd5IEbYDMvi/view?usp=drivesdk
3,01_READY,UNIQUE_READY,1QRCw3b4Mvc8erZ_dATzPer6xYXllFKtz,3_186  BR_CAR__BR_26-08 - IA - Story (BRASIL).mp4,1o3g4h8NCtQz9cEcHRiY8LSotRQbscxQI,CAR_BR_BR_VID_SEM_ENTRADA_PV_067.mp4,e29f922d50ae91bc2b4b6f35cbc9fded3ff3d7668eff1473f0e601337c2e149b,46299a9cc9e5c21f3ce3b2419b12fe191d3306633303faee2c7624df8d45b6a7,5b9a47bf971d3dce81cf0da7e742a234,8624475,True,True,True,CARRO,PERSON,PV,SEM_ENTRADA,067,MAIS DE 10 MIL CARROS; SEM ENTRADA; PARCELAS DE ATÉ R$ 499,dhash64:323265a5a26266e3/1070cf81cec6c6d3/0e72e8aa8c870e64,https://drive.google.com/file/d/1o3g4h8NCtQz9cEcHRiY8LSotRQbscxQI/view?usp=drivesdk
4,01_READY,UNIQUE_READY,1Ljm289RO_wbw9vR4ZsrMRO-IHfrYqzy-,4_187  BR_CAR__BR_26-08 - IA - Story (BRASIL).mp4,1jlh8nAO1k3MaSMRPbsGrU9hYE5mawhnQ,CAR_BR_BR_VID_SEM_ENTRADA_PV_068.mp4,46998f99b3ac55a1aad89dccf328aa61070ffc46c9719de94fc21d3f388390ae,e3368c25345cdb5facb5f4dda3a1cb586e3599df37e41d0c510556dd83ed4f60,3837539854156f65c307b774e8e7c758,8524390,True,True,True,CARRO,PERSON,PV,SEM_ENTRADA,068,MAIS DE 10 MIL CARROS; SEM ENTRADA; PARCELAS DE ATÉ R$ 499,dhash64:de57f49ec4c4e3c3/f46c242443c0e8c6/47d543aeae170286,https://drive.google.com/file/d/1jlh8nAO1k3MaSMRPbsGrU9hYE5mawhnQ/view?usp=drivesdk
5,01_READY,UNIQUE_READY,1AMrM30Kfcmvs0trxl51OIp9sV9ipRqn7,5_16 BR_CAR__BR_ MOTO 26-08 - IA - Story (BRASIL)) .mp4,1AfbHsYm0caOMVE9zHrodktfyjnUVhT83,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_NV_001.mp4,0265667a12896c52fb3042502d9fd9ae1b69d84421f73a98ea0675ec1eba0e0c,32b08baf88621881ce0b04a922d96aea8c842227d15bc862f748ac485dd99e3e,74b8875f1a79f4e021ba82f7ae7811c1,10076023,True,True,True,MOTO,NO_PERSON,NV,SEM_ENTRADA,001,MOTO POR R$ 299/MÊS; SEM ENTRADA,dhash64:98d332389094b4b7/2b97a6fcde97c343/1e161e0e8991820c,https://drive.google.com/file/d/1AfbHsYm0caOMVE9zHrodktfyjnUVhT83/view?usp=drivesdk
6,01_READY,UNIQUE_READY,1h70AOvBTy3dXaNj04QSj4O37DsCcvK7-,6_182  BR_CAR__BR_26-08 - IA - Story (BRASIL).mp4,12Q-M4TV0oAclEIWeSYRA0al3PmK7cKAD,CAR_BR_BR_VID_SCORE_BAIXO_NV_005.mp4,43ae7b60e392cf625b7e658ee78426fa0ef8e3069b415a172fbfa40aa2618b2f,f7c86e492f251585764e0e65da1db6ac55712e1978dd67a3b8915497c8ce2ca3,66d81cba93f48d15259a8ae65b7508cf,9056541,True,True,True,CARRO,NO_PERSON,NV,SCORE_BAIXO,005,APROVA NEGATIVADO; SEM ENTRADA; PARCELAS DE R$ 299,dhash64:181c927fced060e3/04f31dd13c6460ff/3818967373f26475,https://drive.google.com/file/d/12Q-M4TV0oAclEIWeSYRA0al3PmK7cKAD/view?usp=drivesdk
7,01_READY,UNIQUE_READY,1gAMfNaWupg9WfSgBG8wrtOzEA2ySHwC3,7_13 BR_CAR__BR_ MOTO 26-08 - IA - Story (BRASIL)) .mp4,1QkX8Q-Co6TILzEo-GapGYB_anH6mPapi,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_NV_002.mp4,b347ab261ab9d0c818ef932b53892ec6a49798bfecbb13b14b88cfe75c27a38c,94a852386ac9655f660f34a7e2d97042063f335bf6bd10c30a1c116ea92afc2e,8cfcb1c85a01cfa01148db5718097c00,10075000,True,True,True,MOTO,NO_PERSON,NV,SEM_ENTRADA,002,MOTO POR R$ 299/MÊS; SEM ENTRADA,dhash64:6ea71d68ca928d0d/cad81c36363239c9/ce490de6f033a090,https://drive.google.com/file/d/1QkX8Q-Co6TILzEo-GapGYB_anH6mPapi/view?usp=drivesdk
8,01_READY,UNIQUE_READY,1njiFvSWDNU-WXJDz-KqcBmKqNCweUu7L,8_177  BR_CAR__BR_26-08 - IA - Story (BRASIL)) .mp4,1wbKRAkgMgTl8fRcPAgBF0c5Pv2R50Rzs,CAR_BR_BR_VID_SCORE_BAIXO_PV_038.mp4,bec24307b768ccaf73db7aeda6dc62ed47a4bff4f93a1230da609acf2e53847b,8924a382d56f7f39fae2eee463a02db21081eddb00646918be11cb0eb8b2e9fd,2bd3a4154e40b00f95b9930b1745c29b,6460764,True,True,True,CARRO,PERSON,PV,SCORE_BAIXO,038,APROVADO MESMO NEGATIVADO; SEM ENTRADA; IPVA PAGO; PARCELA R$ 299,dhash64:4117b3931f4f70f0/00cdc11e9e7f63f1/60b4b1979f1d0ee0,https://drive.google.com/file/d/1wbKRAkgMgTl8fRcPAgBF0c5Pv2R50Rzs/view?usp=drivesdk
9,01_READY,UNIQUE_READY,1HKy4X04yUDafyds0mOg9uE0GZTTEAPXD,9_185  BR_CAR__BR_26-08 - IA - Story (BRASIL).mp4,1b_R6nrQJcFvMv4zaHP_XhqToswGFtqxx,CAR_BR_BR_VID_SEM_ENTRADA_PV_069.mp4,d4b73f9c9481ed66748a28e0020627b9b8b50313851f5f3ff9524228b86568d3,466001e3a3c1edcc8511e6a8a540b50fd6e027d50b642269d7f0041ec0e0eabe,e9404c1a3026a44155f7e51d0119d403,8960565,True,True,True,CARRO,PERSON,PV,SEM_ENTRADA,069,MAIS DE 10 MIL CARROS; SEM ENTRADA; PARCELAS DE ATÉ R$ 499,dhash64:fd37333c246072f7/c8d0b6134541fce6/37c3c3f71d9c0737,https://drive.google.com/file/d/1b_R6nrQJcFvMv4zaHP_XhqToswGFtqxx/view?usp=drivesdk
10,01_READY,UNIQUE_READY,1S-DWbaec7TpimDZS5kj6f29yAxQELJ1j,10_15 BR_CAR__BR_ MOTO 26-08 - IA - Story (BRASIL)) .mp4,1XUZiTVJGuJzNPrzYy9ajRbsWkUDnZNAP,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_NV_003.mp4,87d110477e18ea7fc4f7418bb5fb93b3008f5ff626c09d6be52542c6758f1bb9,9733fb15420dd8e33250716fd5ea009ebd1c8826d84b470266d86a1567476f61,0d380e5bdd79c49d67c99c3cd9345cd0,8842607,True,True,True,MOTO,NO_PERSON,NV,SEM_ENTRADA,003,MOTO POR R$ 299/MÊS; SEM ENTRADA,dhash64:56d2b2d848922b49/b2c6c9c1ec929c9b/da821d94f4f49ca8,https://drive.google.com/file/d/1XUZiTVJGuJzNPrzYy9ajRbsWkUDnZNAP/view?usp=drivesdk
11,01_READY,UNIQUE_READY,14dEI35sT7mGJyiC40EsEJREPbrv4RRVE,11_172 BR_CAR__BR_26-08 - IA - Story (BRASIL)) .mp4,1XPJfFLwVKkJ7sDwvCb8ixHQTlKUpFUEP,CAR_BR_BR_VID_SEM_ENTRADA_NV_084.mp4,086bda4ad2da5eba4678162003bbdb83c11ab0aee602df13a329b2a1ad133abc,6f36c8b667b549aafc0cf603676793a98f7327ce109d062ab05789ebc0878111,0f630d74fe9b9ed8ab4bc010bf98a03f,9877821,True,True,True,CARRO,NO_PERSON,NV,SEM_ENTRADA,084,GOL COM OFERTA; ZERO DE ENTRADA; R$ 299/MÊS; TODO REVISADO,dhash64:012362721e01e077/635b592430f03c58/7f32c90e02840c98,https://drive.google.com/file/d/1XPJfFLwVKkJ7sDwvCb8ixHQTlKUpFUEP/view?usp=drivesdk
12,01_READY,UNIQUE_READY,1zZBX2lUOL1oD_CFgSEpcsL4iBvPWFz49,12_179  BR_CAR__BR_26-08 - IA - Story (BRASIL)) .mp4,17H0lnGQ0ZfR-ezPNxk2dZ8ISYCoDdGw0,CAR_BR_BR_VID_SEM_ENTRADA_NV_085.mp4,2d287ed02e30d1e0c6046a989cd300723eee53cb56da7be3551f483b7220f05d,3edf33c060928c0e21f2def95f9e142cad00597b1cb40b28b66b4799b94b262a,b5e42166e757a5285f1912e8fa79c9b1,6866785,True,True,True,CARRO,NO_PERSON,NV,SEM_ENTRADA,085,OFERTA R$ 349/MÊS; SEM ENTRADA,dhash64:7ef8e9eeec2a2b09/0603caf043878cc8/440fce1129988787,https://drive.google.com/file/d/17H0lnGQ0ZfR-ezPNxk2dZ8ISYCoDdGw0/view?usp=drivesdk
