index,status,disposition,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink
1,01_READY,UNIQUE_READY,1JCVFDFuWLqSQxP2ZZAaIgLvbCbZBJCkV,1.mp4,1nX6ZLbDKaojZgcHvR-iNGc_Tr-wEk05e,CAR_BR_BR_VID_SCORE_BAIXO_PV_033.mp4,0b8da768034aa2633adcc9dfc56b962029fdc4ff399520d20829a698282942cb,09f6e41051b6285cbddf703748064f5869a7bddbe15a97b4cdcd1ac0bab42d49,a8b372a0a1be4ecdd715354c1ad9761f,4154981,True,True,True,PERSON,PV,SCORE_BAIXO,033,"OFERTAS DIVERSAS DISPONÍVEIS POR R$ 200,00; ACESSO MESMO COM NOME SUJO",dhash64:e8bae2a4c4c2f2f8/f8b88c82c0e0a2e0/c0a6b6d8c4e4e2e0,https://drive.google.com/file/d/1nX6ZLbDKaojZgcHvR-iNGc_Tr-wEk05e/view?usp=drivesdk
2,01_READY,UNIQUE_READY,1dY8CvpbhyNjaQxgxeLD74WJeO414kFLR,2.mp4,1C__ZdkVggJ-l_rhdWEKiGnkW8WWaMXIf,CAR_BR_BR_VID_SCORE_BAIXO_PV_034.mp4,4088b08a409a594ae9dd269cd5369774c396a2c822bd299b16390409bb5feca5,d24fddc5ffabf38277e66f1bb025e3c07f304f6b69a19d954ed7f2dba746e5a7,facc3577977d665d9dc3011336d993ae,3940823,True,True,True,PERSON,PV,SCORE_BAIXO,034,"OFERTAS DIVERSAS DISPONÍVEIS POR R$ 200,00; ACESSO MESMO COM NOME SUJO",dhash64:e89ae294c4e2b8f0/f0beb2d8ece0e0e0/e0a6b298e4f0e6e0,https://drive.google.com/file/d/1C__ZdkVggJ-l_rhdWEKiGnkW8WWaMXIf/view?usp=drivesdk
3,01_READY,UNIQUE_READY,1zHNWlPKon_hI4ejIafV8tN0suVllXXy-,3.mp4,137RAHTVNgZUmAamcH3sWdiodJUjTH5ck,CAR_BR_BR_VID_SCORE_BAIXO_PV_035.mp4,49683c51e82ca00b33eca6bb735e509cf2987ede8179c6862ea2dd371b8756fe,ce20891ef2c7a429e5d49ff77826c016a5e1c0f89e961c6bd00b192304540449,2cf487535a04abc468d4929572f959fb,4693272,True,True,True,PERSON,PV,SCORE_BAIXO,035,"MOTOS DIVERSAS DISPONÍVEIS POR R$ 200,00; ACESSO MESMO COM NOME SUJO",dhash64:e0889cf2aebadae0/e0d69296e8e0f0e0/e8a6969ae4e4e4f0,https://drive.google.com/file/d/137RAHTVNgZUmAamcH3sWdiodJUjTH5ck/view?usp=drivesdk
4,01_READY,UNIQUE_READY,1ZOdpwaUQMbDu05INQKrpR05d4FETbHNA,4.mp4,1aECdB6w-CxLoQsyccRRdd8KOa4A2vyiR,CAR_BR_BR_VID_SCORE_BAIXO_PV_036.mp4,3547969e20a4c8f67d061a8f33e9a03ba8683835bfaa2bd44db2e7210a37d016,3a917abdb58332e050767466929655d2f96cf5286c4855c124334f094749ac95,40fba6601015c98458ac41e323fd10b4,4463138,True,True,True,PERSON,PV,SCORE_BAIXO,036,"MOTOS DIVERSAS DISPONÍVEIS POR R$ 200,00; ACESSO MESMO COM NOME SUJO",dhash64:e0989ce2aebaf8a0/d4be9296e8e0e0e0/c4a69298e4e4e4f2,https://drive.google.com/file/d/1aECdB6w-CxLoQsyccRRdd8KOa4A2vyiR/view?usp=drivesdk
5,01_READY,UNIQUE_READY,1W0snaPn9iFp3_re8dfumo7NP81omT9B1,5.mp4,1ufdi3axCV_0JWzCLrx4g7ntEoKDAAgTL,CAR_BR_BR_VID_SCORE_BAIXO_PV_037.mp4,d880d0b2bf3bfa66c094a0da0d25cdfb2d83b154fd8cf14939bff9cf46a270c6,22030f3634a24252d961e11d94625cb4388f7cde104956416adfb31cd01a19cf,fa7dbf57e30955828987d71b6760063d,3917984,True,True,True,PERSON,PV,SCORE_BAIXO,037,"DIVERSOS VEÍCULOS DISPONÍVEIS POR R$ 200,00; ACESSO MESMO COM NOME SUJO",dhash64:e8bae6a4ccc4f2f0/f8b8ccc2c0e0c2e0/c0a6f6d8ece4e2f0,https://drive.google.com/file/d/1ufdi3axCV_0JWzCLrx4g7ntEoKDAAgTL/view?usp=drivesdk
6,01_READY,UNIQUE_READY,1dRYyGrzXlbB58g0MQ-BzQJdzjkeat2zb,6.mp4,13lD4C4N8McXyRIJ2lyobCYti49hmaUcK,CAR_BR_BR_VID_PARCELAS_BAIXAS_PV_002.mp4,72e1a3a571ff536c545e024b1d250dc17bd0ab1812c89a6db17be5ab23bf29a3,af039a9782f688ff58c0557689be599865058946d8ad79cf8295dbe54a06f1e3,a71223f7ccd1440e1e76c3759c169180,4854597,True,True,True,PERSON,PV,PARCELAS_BAIXAS,002,"PARCELAS DE R$ 199,00; OFERTA PARA SAIR HOJE",dhash64:e4e6b6beb6c6c6ec/f0ccac8cccdce8b8/e081238eeca2b2b2,https://drive.google.com/file/d/13lD4C4N8McXyRIJ2lyobCYti49hmaUcK/view?usp=drivesdk
7,01_READY,UNIQUE_READY,1ib6CULL3kIDQxjuNdzqoM9gc4n6r5faW,7.mp4,1RYl30FkL1EWyE5mXVi0RaU2y_N8HggeR,CAR_BR_BR_VID_PARCELAS_BAIXAS_PV_003.mp4,29d22d01cb560d10fa9e22acd98db47343f24bfd3bc2352a42a767c355d136c1,a4d8bc19070140e8271928197785ecd5b8c84f4a76f2ad1b20fcacb7d2088708,787e9d175330d0b0b4514d57be11a22d,4986981,True,True,True,PERSON,PV,PARCELAS_BAIXAS,003,"PARCELAS DE R$ 199,00; OFERTA PARA SAIR HOJE",dhash64:e4e6b6be9af2c6ec/f4ccac8cccd4e8b8/e08133a6e6a2b2b2,https://drive.google.com/file/d/1RYl30FkL1EWyE5mXVi0RaU2y_N8HggeR/view?usp=drivesdk
8,01_READY,UNIQUE_READY,1aTEkOSg0qrdZZHy64n8Ei9FfMXOHTJRa,8.mp4,1YufBWnp0HHu-qM0VxtJyBCAUQECaYO-U,CAR_BR_BR_VID_PARCELAS_BAIXAS_PV_004.mp4,e24aba56a940e3b1ef9b6e22c7d348aa2eeae645ff7bbae9d3335df007c60a87,0b93ab690162b271bac64f198cdfe57fea4a3b9bca5bb71183f8430be7578987,2ae1f16317ff587668b3e9d3fb7ec6a5,4856018,True,True,True,PERSON,PV,PARCELAS_BAIXAS,004,PARCELA DE R$ 199 POR MÊS; OFERTA PARA SAIR HOJE,dhash64:e0e6acbc9af3d2f2/f0acac86cad6e4fc/e8b133a6e6b2b2b0,https://drive.google.com/file/d/1YufBWnp0HHu-qM0VxtJyBCAUQECaYO-U/view?usp=drivesdk
