dedup_key,kept_drive_id,skipped_drive_id,kept_relative_path,skipped_relative_path,reason,kept_score,skipped_score
md5:86ba361421904b991ad7e1806d0bc4df,1HOb586eCcsew8dmjC4kPBnTu8DhjKD1l,1jieLLSR7M-0XUDooXl20r2ovtpwxoynF,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/02 Trabalho - Feed ingles__DAGfGwnNh0w.png,UPLOAD_CANVAS/downloads/NICOLAS/02 Trabalho - Feed (ingles)__DAGfGwnNh0w.png,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:84b2bc74296873b31ffff9d7ea48c980,1J8FTifDTVF_kHu7rkcCSVGDJV-7ZKho7,1D5q985ZJmQqDDnWUrNhfuVb8X_09wikE,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/02 Trabalho - Story ingles__DAGfG-tOoGM.mp4,UPLOAD_CANVAS/downloads/NICOLAS/02 Trabalho - Story (ingles)__DAGfG-tOoGM.mp4,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:3aeb0df028c44713aa4ec502424ec700,1jGZeaRPQNpTPFqYTLTyN0KIwgqQVL22v,1p9FgSJjGMpzaFCHhgLAiEOtuDrbkXD5E,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/03 - Feed Ingles__DAGS_eXRxtg.png,UPLOAD_CANVAS/downloads/NICOLAS/03 - Feed ( Ingles )__DAGS_eXRxtg.png,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:b50ba42003cddd7bcdc1a5bb0fa5fd9d,1aO_gxBocfgHZdmdqYlet8jp4Nz_k_4b3,1xids769TTVQnRU8m51vHKCuXrjuX8jZJ,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/ES/03 - Feed espanhol__DAHJAEeBVkY.png,UPLOAD_CANVAS/downloads/NICOLAS/03 - Feed (espanhol)__DAHJAEeBVkY.png,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:d67d9d0a23350f99f9c880bb6b22d16c,14nASQydC8khxFQiHDZclK3U-iM4RNDFL,19yASNU3HkR-WGJSTr8riVbsotpSt0MSn,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/03 - IA - Story AFRICA SUL__DAHGT8TIc3E.mp4,UPLOAD_CANVAS/downloads/NICOLAS/03 - IA - Story (AFRICA SUL)__DAHGT8TIc3E.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:2a26fc4d4539248f2d950dc255030d71,1_mLWPVS-rAze2z72Q9MfiSF-dUM4TlvD,1Lhidp3zZ9tpAUq1q4SM2l9mETc75EqkO,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/03 - IA - Story ARGENTINA__DAHGUFgoECE.mp4,UPLOAD_CANVAS/downloads/NICOLAS/03 - IA - Story (ARGENTINA)__DAHGUFgoECE.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:f30b02819290e1d13a51d97d68bff917,1yLPRY5w26reN79dRvUuqKBjYtaboMGwu,1vjhQ6_z26qV6brXBY7FsYbQLl1mQP4bo,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/03 - IA - Story Espanhol__DAHCMOe1siw.mp4,UPLOAD_CANVAS/downloads/NICOLAS/03 - IA - Story (Espanhol)__DAHCMOe1siw.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:e63ca83bdd9bd651ca1cad2acc007a6a,1vjGEX8X5oBTzEd1VRXA5HX-xTuF3k97z,1yh1wERHrmGZQgzPk_lQ-7dRhbo9LMnfw,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/03 - IA - Story Ingles__DAHALms-lPo.mp4,UPLOAD_CANVAS/downloads/NICOLAS/03 - IA - Story (Ingles)__DAHALms-lPo.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:5823be0856968a4feac6df8d28834e99,1cVxL9ki8LEBIkSC9L_9MDPtUWVHWSBA5,1gEZZLlJd9LMc6ZqjT3lsEPCbwtVbV1Q5,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/03 - Story Ingles__DAGplgyqsJ8.mp4,UPLOAD_CANVAS/downloads/NICOLAS/03 - Story ( Ingles )__DAGplgyqsJ8.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:4d4fa859bf17d7edd30a30c655afca52,1YdTsYkCbgzQHh9GtbRK1s9HGGS1DsaTX,1_gC1xAu_D4VFwhTlO72VwOweSZ8q43Ua,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/03 - Story Ingles__DAGS_O11pSw.mp4,UPLOAD_CANVAS/downloads/NICOLAS/03 - Story ( Ingles )__DAGS_O11pSw.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:9038257d5a52070c02b81f042e393d48,1Oq9yQIbAl-PrvMOXi-DBiAPni0OIUL3K,17QnQ2PMtcQ7mZBUw2uEQCnjCFqOTnCoO,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/03 - Story espanhol__DAHI_yCOW3w.mp4,UPLOAD_CANVAS/downloads/NICOLAS/03 - Story (espanhol)__DAHI_yCOW3w.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:c95849ec56b30755b48ac4c7fb3f8088,1wQ1b9uDCtGCDgFEfUBqyHMT7mIiE2CJl,1yIUQakawGybK_6Zw1QlPzwfolx8Waudv,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/03 Trabalho - Feed ingles__DAGfG0b0n7g.png,UPLOAD_CANVAS/downloads/NICOLAS/03 Trabalho - Feed (ingles)__DAGfG0b0n7g.png,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:54817dd5a167024da61c55e4c3de4725,1M9H5JHDn5Qf5xkCgAo8mRiD2yVYwWbVx,1AhhRdUI-Gg3VvhZ5jKH6PoM5fp4B-3Va,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/03 Trabalho - Story ingles__DAGfG2laXXo.mp4,UPLOAD_CANVAS/downloads/NICOLAS/03 Trabalho - Story (ingles)__DAGfG2laXXo.mp4,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:d27424ded79ebedc9a6f382e33b5a66e,1Eg4hBKZvH4WFFs-H7sufJtVYVahOZdt_,1ydutX5NlmXcccnxAknO5BAH2uPedGtYH,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/04 - Feed Ingles__DAGS_fR-1sI.png,UPLOAD_CANVAS/downloads/NICOLAS/04 - Feed ( Ingles )__DAGS_fR-1sI.png,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:6f59e6fba830b7ffe1ff8a9ec7854348,1ZXJzVnSzljTjnmuGw7rxiirRurXp1JmO,1oU-bnL3txMPLFH5PtlbZJ3MZ8A9VC53E,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/04 - IA - Story GB ingles__DAHGCWYuEmY.mp4,UPLOAD_CANVAS/downloads/NICOLAS/04 - IA - Story (GB ingles)__DAHGCWYuEmY.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:c852d951ddc644006ceb1debfd650fd2,1hJXI_3mdsxzQxEPKckg8DBp6aBtvUOIr,1bYIsVy2dUKuCZhrIjFDbA6ZnQuVHDeTe,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/04 - IA - Story Ingles__DAHALg9h6wc.mp4,UPLOAD_CANVAS/downloads/NICOLAS/04 - IA - Story (Ingles)__DAHALg9h6wc.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:3d915cad920236512fc1f7382c192a26,1TOlULnGmvFL8l_NoUodoeF-x38lyBBcg,1Y00EKNc4U1nfjmp4weJzBS4vFx3AT8YU,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/04 Trabalho - Feed ingles__DAGfGuoEqjE.png,UPLOAD_CANVAS/downloads/NICOLAS/04 Trabalho - Feed (ingles)__DAGfGuoEqjE.png,DUPLICATE_MD5_OR_SAME_KEY,96,88
