upload_scope,organized_scope,filename,upload_path,organized_path
UPLOAD_CC_IMG,ORG_CC_IMG,59 - Feed Ingles__DAGqM8B-gQA.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/59 - Feed Ingles__DAGqM8B-gQA.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/59 - Feed Ingles__DAGqM8B-gQA.png
UPLOAD_CC_IMG,ORG_CC_IMG,10 - Feed alemanha__DAGS7LDcKpg.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/10 - Feed alemanha__DAGS7LDcKpg.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/DE/00_REVIEW/10 - Feed alemanha__DAGS7LDcKpg.png
UPLOAD_CC_IMG,ORG_CC_IMG,15 - Feed espanhol__DAGS57LwJiU.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/15 - Feed espanhol__DAGS57LwJiU.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/15 - Feed espanhol__DAGS57LwJiU.png
UPLOAD_CC_IMG,ORG_CC_IMG,09 - Feed alemanha__DAGSc0eVkGQ.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/09 - Feed alemanha__DAGSc0eVkGQ.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/DE/00_REVIEW/09 - Feed alemanha__DAGSc0eVkGQ.png
UPLOAD_CC_IMG,ORG_CC_IMG,11 - Feed alemanha__DAGS7BtAVDM.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/11 - Feed alemanha__DAGS7BtAVDM.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/DE/00_REVIEW/11 - Feed alemanha__DAGS7BtAVDM.png
UPLOAD_CC_IMG,ORG_CC_IMG,03 - Feed Ingles__DAGS_eXRxtg.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/03 - Feed Ingles__DAGS_eXRxtg.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/03 - Feed Ingles__DAGS_eXRxtg.png
UPLOAD_CC_IMG,ORG_CC_IMG,11- Feed ingles__DAGVqXLzo2Y.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/11- Feed ingles__DAGVqXLzo2Y.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/11- Feed ingles__DAGVqXLzo2Y.png
UPLOAD_CC_IMG,ORG_CC_IMG,12- Feed ingles__DAGVqac20xY.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/12- Feed ingles__DAGVqac20xY.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/12- Feed ingles__DAGVqac20xY.png
UPLOAD_CC_IMG,ORG_CC_IMG,13 - Feed ingles__DAGVqleiX40.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/13 - Feed ingles__DAGVqleiX40.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/13 - Feed ingles__DAGVqleiX40.png
UPLOAD_CC_IMG,ORG_CC_IMG,14 - Feed ingles__DAGVwgtw7O8.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/14 - Feed ingles__DAGVwgtw7O8.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/14 - Feed ingles__DAGVwgtw7O8.png
UPLOAD_CC_IMG,ORG_CC_IMG,15 - Feed ingles__DAGVwr-hrsY.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/15 - Feed ingles__DAGVwr-hrsY.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/15 - Feed ingles__DAGVwr-hrsY.png
UPLOAD_CC_IMG,ORG_CC_IMG,16 - Feed ingles__DAGVwtMXdSo.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/16 - Feed ingles__DAGVwtMXdSo.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/16 - Feed ingles__DAGVwtMXdSo.png
UPLOAD_CC_IMG,ORG_CC_IMG,17 - Feed ingles__DAGV0--vRMM.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/17 - Feed ingles__DAGV0--vRMM.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/17 - Feed ingles__DAGV0--vRMM.png
UPLOAD_CC_IMG,ORG_CC_IMG,18 - Feed ingles__DAGV1N4PTVM.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/18 - Feed ingles__DAGV1N4PTVM.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/18 - Feed ingles__DAGV1N4PTVM.png
UPLOAD_CC_IMG,ORG_CC_IMG,62 - Feed ingles__DAGYnVg0dAk.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/62 - Feed ingles__DAGYnVg0dAk.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/62 - Feed ingles__DAGYnVg0dAk.png
UPLOAD_CC_IMG,ORG_CC_IMG,57 - Feed Ingles__DAGeMspftEg.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/57 - Feed Ingles__DAGeMspftEg.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/57 - Feed Ingles__DAGeMspftEg.png
UPLOAD_CC_IMG,ORG_CC_IMG,61 - Feed Ingles__DAGqPtsfwls.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/61 - Feed Ingles__DAGqPtsfwls.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/61 - Feed Ingles__DAGqPtsfwls.png
UPLOAD_CC_IMG,ORG_CC_IMG,22 - Feed ingles__DAGV1WbgCfM.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/22 - Feed ingles__DAGV1WbgCfM.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/22 - Feed ingles__DAGV1WbgCfM.png
