drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,status,proposed_action,notes
18sgZW72L4ytE35228wVB3pNiwzh_2Z8L,70.3 - Story ingles.mp4,UPLOAD_CANVAS/downloads_JOE/70.3 - Story ingles.mp4,downloads_JOE,video/mp4,mp4,VID,1758337,1080,1920,9:16,STORY,13333,38d8b8626d96a735874eb65821a59975,2026-06-08T14:50:58.626Z,2026-05-27T19:02:41.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1yrUNXfL640ZdbioW2ll2GwjUVulEh72V,71.3 - Story ingles.mp4,UPLOAD_CANVAS/downloads_JOE/71.3 - Story ingles.mp4,downloads_JOE,video/mp4,mp4,VID,2045711,1080,1920,9:16,STORY,13366,867047853c76a04165688e2dcd8793ef,2026-06-08T14:51:01.084Z,2026-05-27T19:15:00.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1tKg8Gw7FKTmx-EAQSnj0lmY6QslyH1bW,75.2- Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/75.2- Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,1027177,1080,1920,9:16,STORY,14066,65991a4c333479fd77c3c6c871bb5d2a,2026-06-08T14:43:05.767Z,2026-05-27T19:27:00.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
13tV9lhjSG7QVKpqfw8eILsg2e6n8epgM,76.2 - Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/76.2 - Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,888735,1080,1920,9:16,STORY,13999,40f2b75b19c3fcf3ae20d7fae55e35a7,2026-06-08T14:43:05.738Z,2026-05-27T19:19:13.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1aQ4Y0SXJYinAezCpt_Zuqq4VUTZtd2Lp,80 - Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/80 - Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,873535,1080,1920,9:16,STORY,10999,5c99051cd436967fb9be3f313d62b0bf,2026-06-08T14:43:05.755Z,2026-05-27T19:18:31.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1fB4ARq5hXzutGVg7r321sWCcwwUz6ZT4,81 - Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/81 - Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,906223,1080,1920,9:16,STORY,10999,c252c76e6ae2d33573725adc5d8b70db,2026-06-08T14:43:05.748Z,2026-05-27T19:15:49.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1lLhxYa7mzHhHvALLFgDpf6ButYIy2hKr,82 - Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/82 - Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,896676,1080,1920,9:16,STORY,10999,960eebb2fdee772537bd422c6f0d6c51,2026-06-08T14:43:05.794Z,2026-05-27T18:53:11.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ied6qQQ0nl_zKqk8gayzKv07TwBMQcRF,89 - Story ingles.mp4,UPLOAD_CANVAS/downloads_JOE/89 - Story ingles.mp4,downloads_JOE,video/mp4,mp4,VID,1639761,1080,1920,9:16,STORY,8999,76ef86f0ae69437a48b957582dc2b7af,2026-06-08T14:51:03.347Z,2026-05-27T19:07:10.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1m_dw47VKfJ3_ShZ8WLP5hDXgqhfDv-A9,90 - Story ingles.mp4,UPLOAD_CANVAS/downloads_JOE/90 - Story ingles.mp4,downloads_JOE,video/mp4,mp4,VID,1685648,1080,1920,9:16,STORY,8999,0a03195f1f5c79467000c1c183c23ab2,2026-06-08T14:51:04.896Z,2026-05-27T19:04:20.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1_rX9jzJ35BZhRKq6eo0tTLLvUxO5xuUh,91 - Story ingles.mp4,UPLOAD_CANVAS/downloads_JOE/91 - Story ingles.mp4,downloads_JOE,video/mp4,mp4,VID,1830010,1080,1920,9:16,STORY,8999,a66b35511b5bed37686c00e962c4d6e8,2026-06-08T14:51:06.120Z,2026-05-27T19:13:15.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
