queue_id,dedup_key,duplicate_count,source_drive_id,source_relative_path,source_top_folder,original_filename,destination_folder,destination_filename,vertical_proposed,operation_proposed,format,placement_fit,language_guess,proposal_confidence,proposal_reason,width,height,duration_ms,size_bytes,md5_checksum,queue_action,raw_policy,metadata_status,drive_write_status
b35f0b90a119c358,md5:1b2d099f239e10c2f87bffdcfcae13d3,2,1tQycZkQSHVxmogxmrs9sKf-6ATvBHcZX,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/66 - Story ingles__DAGeQG-HNPg.mp4,organized,66 - Story ingles__DAGeQG-HNPg.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/STORY/EN/00_REVIEW,66 - Story ingles__DAGeQG-HNPg.mp4,CC_REVIEW,CC_REVIEW,VID,STORY,EN,low,mixed folder; no decisive row keyword,1080,1920,8999,982323,1b2d099f239e10c2f87bffdcfcae13d3,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
14a7a61a65869016,md5:ea0b879f1105340e67caff50a54a85f6,2,198SdjZOUD8HX4SxdgXb8OwLG7Fx0dtJe,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/66 - Story Ingles__DAGz6sgW2og.mp4,organized,66 - Story Ingles__DAGz6sgW2og.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/STORY/EN/00_REVIEW,66 - Story Ingles__DAGz6sgW2og.mp4,CC_REVIEW,CC_REVIEW,VID,STORY,EN,low,mixed folder; no decisive row keyword,1080,1920,10999,692347,ea0b879f1105340e67caff50a54a85f6,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
77eabcea585b0b7f,md5:3d9621b5dbaf7ec60082c3086063ca9c,2,13cS6mvZp7fhtuW2JCY-loXou_OA6BoXa,UPLOAD_CANVAS/organized/NICOLAS/VID/FEED/EN/67 - Feed ingles__DAGZIcg6wXY.mp4,organized,67 - Feed ingles__DAGZIcg6wXY.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/FEED/EN/00_REVIEW,67 - Feed ingles__DAGZIcg6wXY.mp4,CC_REVIEW,CC_REVIEW,VID,FEED,EN,low,mixed folder; no decisive row keyword,1080,1080,13999,1648666,3d9621b5dbaf7ec60082c3086063ca9c,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
d7fb236ff56d3db2,md5:ff24b848494a3af7d4f7c9c6413c729a,2,1TgtutyPA1aiiGhib9ExAnXq0eGrlb7WH,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/67 - Story ingles__DAGeP5iunmY.mp4,organized,67 - Story ingles__DAGeP5iunmY.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/STORY/EN/00_REVIEW,67 - Story ingles__DAGeP5iunmY.mp4,CC_REVIEW,CC_REVIEW,VID,STORY,EN,low,mixed folder; no decisive row keyword,1080,1920,8999,982665,ff24b848494a3af7d4f7c9c6413c729a,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
6884a66a4d0fc014,md5:a666d949bf3a1cd89290ed233ca66df8,2,18XK7yeVXuRCy6-fWPyUY-j2_ZfX5mDAl,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/67 - Story Ingles__DAGz6hZsRZ8.mp4,organized,67 - Story Ingles__DAGz6hZsRZ8.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/STORY/EN/00_REVIEW,67 - Story Ingles__DAGz6hZsRZ8.mp4,CC_REVIEW,CC_REVIEW,VID,STORY,EN,low,mixed folder; no decisive row keyword,1080,1920,21999,2179840,a666d949bf3a1cd89290ed233ca66df8,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
f14ac4a339d15d6b,md5:bed167a788d8861a50c32a3843996d69,2,1XBqJpubJeaG79fYFUJ3pvaMkalVy_0by,UPLOAD_CANVAS/organized/NICOLAS/VID/FEED/EN/68 - Feed ingles__DAGZJJPn4O8.mp4,organized,68 - Feed ingles__DAGZJJPn4O8.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/FEED/EN/00_REVIEW,68 - Feed ingles__DAGZJJPn4O8.mp4,CC_REVIEW,CC_REVIEW,VID,FEED,EN,low,mixed folder; no decisive row keyword,1080,1080,13999,1367224,bed167a788d8861a50c32a3843996d69,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
7c67d63bdc4fe347,md5:b184bbaf9471b97a6940c02b6b38679c,2,1bV4VtI43Roqq58ysCjNGPbLaj9O4zIS3,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/68 - Story ingles__DAGeQELSyDA.mp4,organized,68 - Story ingles__DAGeQELSyDA.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/STORY/EN/00_REVIEW,68 - Story ingles__DAGeQELSyDA.mp4,CC_REVIEW,CC_REVIEW,VID,STORY,EN,low,mixed folder; no decisive row keyword,1080,1920,8999,980000,b184bbaf9471b97a6940c02b6b38679c,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
4d9f71e71795cae7,md5:f223d72ece9b5aba6d4714234bcd8d0d,2,1ZKc4t0O96HQpdzq8LatpNtrUV1WNKrXS,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/68 - Story ingles__DAGZI_npb9o.mp4,organized,68 - Story ingles__DAGZI_npb9o.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/STORY/EN/00_REVIEW,68 - Story ingles__DAGZI_npb9o.mp4,CC_REVIEW,CC_REVIEW,VID,STORY,EN,low,mixed folder; no decisive row keyword,1080,1920,13999,2732907,f223d72ece9b5aba6d4714234bcd8d0d,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
130400b872d3992f,md5:65bcd9e9901e279e48f29d3c485797c8,2,1Hhm7XgsSMbqL9Xt6HSSqPnRA7cUwoEKM,UPLOAD_CANVAS/organized/NICOLAS/VID/FEED/EN/69 - Feed ingles__DAGZJA4c4Fo.mp4,organized,69 - Feed ingles__DAGZJA4c4Fo.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/FEED/EN/00_REVIEW,69 - Feed ingles__DAGZJA4c4Fo.mp4,CC_REVIEW,CC_REVIEW,VID,FEED,EN,low,mixed folder; no decisive row keyword,1080,1080,13999,1395240,65bcd9e9901e279e48f29d3c485797c8,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
0abb06606f7b0794,md5:67d30e3a1dd50fecd500f768d7ff7c0f,2,1ehEl-rRLrx4kBbHT3tsdHZj2qAa_UbQC,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/69 - Story Ingles__DAG1ri6dQH0.mp4,organized,69 - Story Ingles__DAG1ri6dQH0.mp4,MGS-CRIATIVOS/CC_REVIEW/VID/STORY/EN/00_REVIEW,69 - Story Ingles__DAG1ri6dQH0.mp4,CC_REVIEW,CC_REVIEW,VID,STORY,EN,low,mixed folder; no decisive row keyword,1080,1920,10999,1320739,67d30e3a1dd50fecd500f768d7ff7c0f,CLEAN_METADATA_THEN_COPY_KEEP_RAW,KEEP_UPLOAD_CANVAS_UNCHANGED,PENDING_CLEAN,NOT_EXECUTED
