Data,Gasto,Receita
2026-06-16,0.0,13391.76694
2026-06-17,0.0,14935.101264
2026-06-18,0.0,17837.859313
2026-06-19,0.0,15826.093722
2026-06-20,0.0,15084.83727
2026-06-21,0.0,15792.897978
2026-06-22,0.0,11255.034059
2026-06-23,0.0,12539.484273
2026-06-24,0.0,12538.15658
2026-06-25,0.0,6141.18792
2026-06-26,0.0,2521.700759
2026-06-27,0.0,2291.628846
2026-06-28,0.0,3118.635553
2026-06-29,0.0,3108.440082
