ts_utc,status,source_drive_id,source_filename,destination_filename,destination_folder,dest_drive_id,dest_webViewLink,bytes_clean,source_sha256,clean_sha256,clean,harmful_tags_before,harmful_tags_after,operation,country,language,vertical,format,placement_fit,angle,p_orient,created_by,requested_by,source,used_by,campaign_owner,notes,error
2026-07-02T17:02:45.400583+00:00,UPLOADED,1UFptUVBiojHXrURIpUV4WQMyry3qGcAl,12_23 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_012.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,18n_vHp47AzMcAo6pqsdCNYvLcbeio6Mu,https://drive.google.com/file/d/18n_vHp47AzMcAo6pqsdCNYvLcbeio6Mu/view?usp=drivesdk,12602336,b820c55c841dcb8113bf1179252931b63fca5393445e80aff82f211668b031a2,01b3b7a4efa08deefbf93ef2eaecb0d23d4f6bca61894e876b3dcdd6aa3d035b,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:02:50.389268+00:00,UPLOADED,1LjDC-Jfg557dd1spPaC4LYyOiRhC3q9X,13_06 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_013.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1S7SpjUdNj0M9NU3dTrNjoIYkN4GMNZQT,https://drive.google.com/file/d/1S7SpjUdNj0M9NU3dTrNjoIYkN4GMNZQT/view?usp=drivesdk,13616802,4292b54c62363dee26b144056de8cd53a828e6336230f0f074b6d5a0f3265e03,7a5235ba84ea37173d1c5c8218dae1535567538b2f6c46ede6f015552ee9189b,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:02:55.755707+00:00,UPLOADED,1KiWGfcqenumHv7VTRzLxMpR5L3kuftWg,14_04  - IA - Story Financiamento(Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_014.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1g6sIms2603Bxl6A5sUfF9315UE7IoHjL,https://drive.google.com/file/d/1g6sIms2603Bxl6A5sUfF9315UE7IoHjL/view?usp=drivesdk,11253513,9805cb1e25cd4078d2ac9d0b36f77b11ca79eb0973dd73ecb3eb98a461514d7c,1b17645fa3ff0589576a82cb01312cf001c3882213865a0e51b52cf8e9f93f9c,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:03:00.844634+00:00,UPLOADED,1oa6jA0x19jXBKQYPGOvN35t8hqasLtix,15_21 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_015.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1hZbq2Z95KIJD09cLtt3lmKINL4RH9htI,https://drive.google.com/file/d/1hZbq2Z95KIJD09cLtt3lmKINL4RH9htI/view?usp=drivesdk,14421147,75f97c43f8f8df80387cb6b52c829ba54cfa2490b4133f8f230cd3d94997887f,e73eba20255a8d3c22202cfb15e232966270f57c3e37baf7e4c7aae6280b9caf,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:03:06.073441+00:00,UPLOADED,119wysqbfRId3d8MihRiYOcWathdZmjul,16_17 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_016.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1bi8_EYHd60rkwRUldRn2c3dcugInxQMi,https://drive.google.com/file/d/1bi8_EYHd60rkwRUldRn2c3dcugInxQMi/view?usp=drivesdk,13265661,b7b0068a30d61f0783540ac3996fbb741a84672e748ef0d52d6153ebb3d69fee,b221d60039b04cd03bce471026398a63272cd9cff4ea0ece303f6bc3308a5642,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:03:11.573516+00:00,UPLOADED,1RLRs50XVbu0KctI5_JyvabNZNNCVSH4m,17_22 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_017.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1oX-INi9BrPVFM5tVtyxZQOtzq8-55m7K,https://drive.google.com/file/d/1oX-INi9BrPVFM5tVtyxZQOtzq8-55m7K/view?usp=drivesdk,9923021,485320c82a40cab54fc3faac67c5412d5429619699a1e2642aab32d232a11230,a558b108c7fbc90fd2a28c0045df93780efa93e338359b779bdb21293d971c63,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:03:15.858064+00:00,UPLOADED,1VXeB_p7GgQC8mB5UvNxVAOczBwgvyiRQ,18_03  - IA - Story Financiamento(Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_018.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1m5NyeeDjcHrgKgBPaFuDkKBSCTkqKVp6,https://drive.google.com/file/d/1m5NyeeDjcHrgKgBPaFuDkKBSCTkqKVp6/view?usp=drivesdk,11548819,fb0fdc92bc1966262e0daac67878b5176e7a071097b5fccba5a4d0e1f5bc2e73,5a85d573721b05a4922b9ea92e5e6c097e4809b187c994f56798c94c2e288d17,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:03:49.889470+00:00,UPLOADED,1f55MGtmaUFjjYUD9bzQVrJOkZccLPtps,19_11 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_019.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1DDOPUV3EzQ1aPxYMowhzewa1E5nFXcjH,https://drive.google.com/file/d/1DDOPUV3EzQ1aPxYMowhzewa1E5nFXcjH/view?usp=drivesdk,12926616,c7f3ab19160f6ff0b3668cf9d4bd1862c5084a637e2de2b8df824f600ee016d7,2c605022f4d2913025fe78e1d9b7033a285d66b1d0ae8d2b70398feed8121570,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:03:54.722511+00:00,UPLOADED,1fNTq3m_pazbfr70fM6GXsiMS88QHfNJJ,20_12 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_020.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1Xiddpd300hRI3sAElSm6z_3YjzSYbHtc,https://drive.google.com/file/d/1Xiddpd300hRI3sAElSm6z_3YjzSYbHtc/view?usp=drivesdk,12928039,554b57a4c870b186b52da81c1fa86ec3b81fd717c0b162ef10197d1c4cba39d3,6ef03209fe03c517ef61ee406ed9d6287298d22c1d14fe857f2a21afef95fac3,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:04:29.072398+00:00,UPLOADED,1bKIuBiUsg86kN2fNgJoXiSB4bwHAFf-W,21_07 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_021.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1ycObgrPF5y027Kj9c4rzXQWnFUrAMGdo,https://drive.google.com/file/d/1ycObgrPF5y027Kj9c4rzXQWnFUrAMGdo/view?usp=drivesdk,13170123,b66cbb239f39e7c5bcd7f41e25f847f6ffe8c42fb86d41a901d6af4030cc8484,16d2a5933034bd86b53fec7d8c60864708d15430937411bbb2cd22000adaf2d7,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:04:34.356077+00:00,UPLOADED,1DJ9anmAstxxKapILjB0_3XvP4u41ydpm,22_08 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_022.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,13sNvg4jaGCAKJT4KD8ETyY2Q1zOOxs88,https://drive.google.com/file/d/13sNvg4jaGCAKJT4KD8ETyY2Q1zOOxs88/view?usp=drivesdk,11160111,d2707050fcf254b0888a87c27c78504b0ad6ddd2f73b93a73391bbcafc9ae8e7,93694b39dab377040fca91538cb83f06ab79a613e3be60e2a0e805b75490dfcf,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-02T17:04:39.103545+00:00,UPLOADED,1eSgnAgox5g6Ckophv5yZ2Joy3yAceq_k,23_09 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_023.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1JKm5ViJu5UNhMQly6qR5eVHe3-Nfx58E,https://drive.google.com/file/d/1JKm5ViJu5UNhMQly6qR5eVHe3-Nfx58E/view?usp=drivesdk,11415994,a7bac45ba19786112587b1be3befbce7061f694283f887a99bfd9784ac863d4f,d170f807371d3832cf887f4b98b8c253a8d08f3295ce964212bd3b9addb70d5e,true,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
