index,status,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,person,p_orient,angle,variant,claim,reason,webViewLink
1,01_READY,1TRrz2xizQRFVw7U1aX-w76fSeWL3OsJN,1_129 - Story Financiamento (Brasil).mp4,1vRrF3GzU8_KzfA3rbgIyMoqBioJkMoIx,CAR_BR_BR_VID_SEM_ENTRADA_PV_015.mp4,36c7692ded7347f845fbc1b71b7a4a00678f6323111c3be802be67bffbd0fcfe,800f17c4b8ab8f60e2b92d0211227407c5632c9ece4967009527f58b6d24f629,9662665,True,True,True,PERSON,PV,SEM_ENTRADA,015,SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/1vRrF3GzU8_KzfA3rbgIyMoqBioJkMoIx/view?usp=drivesdk
2,01_READY,1QrYS50bdWsOXVb1DAm2bUDneIR7Sdj5B,2_126 - Story Financiamento (Brasil).mp4,1CyUNszIkm017MAnyTX421jpQV7chtfAp,CAR_BR_BR_VID_SEM_ENTRADA_NV_032.mp4,978761c092c187a64284c2cc8ae04c6353adef8eebefbbbba3a8cea25ae8c13d,3abaaac157179c3fbbf94093bd3478d3ad0b64f6c9d7611bcdf2c983d6fb7d8f,11676572,True,True,True,NO_PERSON,NV,SEM_ENTRADA,032,SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/1CyUNszIkm017MAnyTX421jpQV7chtfAp/view?usp=drivesdk
