asset_id,original_filename,old_canonical,new_canonical,old_source_id,reupload_id,asset_drive_id,original_sha256,clean_sha256,metadata_clean,status
asset_50f92c2a1bf0f07e5b65,1_76 - IA - Story (Espanhol).mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_012.mp4,CC_US_ES_VID_LIMITE_ALTO_PV_001.mp4,1CaTFzIGrjCjTMyVmhHGC9rPH49YdRRMp,1ukoGgfU_6GFT98WQoAvau7dO926Eri_3,18SQmKe23F5vzAt_c5lI5GIrfIuimLA1S,d745b1b27026a23e7e495f5b48e8ffa16ce332380909f30f470126bdac537bdc,6da2acec95a0a34d0a13b1c293ce07ee724e6999ee29ceb65adb034d1f7a6027,True,RECLASSIFIED_CC_US_ES
asset_e2a6594e67e0a31ec400,2_75 - IA - Story (Espanhol).mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_014.mp4,CC_US_ES_VID_LIMITE_ALTO_PV_002.mp4,1q8-1ZS309Hjvg12kUL7HOKCzX9IVOgNI,1-7XPelV-A_IZFQQNDRd9usiV5C_ZUWIO,1tpylvWZlvcYxgVHudWv0XMGvPOh8uGqb,27cb01de92d61dcc1ceb0396b4088a7ee0f27aa10fe7f5638d52338d3de72b42,75072160443d4f1eb4710a552969621f20a5778b2ee45023a9312c46b2e3f85e,True,RECLASSIFIED_CC_US_ES
asset_287e29fa03b76aa35e35,3_77 - IA - Story (Espanhol).mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_016.mp4,CC_US_ES_VID_LIMITE_ALTO_PV_003.mp4,1qQmnVQYmEcoa7Y7x40j3f_h3RBxo_SCf,1AtHayVcX7i3-Yn-evU8OAlMkUWERUFSR,1KTePTIBgG60ubDWQHZRx4p0jbTOdKIrF,cb28dbbf94f9a6b53b7bd89fbc14a7f9065af1243aaa9023bfa41a620b014dea,39e2ceab315fa77428f11ca4cca7908b6937d67a4f59c23fe00fb70767b58ed5,True,RECLASSIFIED_CC_US_ES
