index,status,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,person,p_orient,angle,variant,claim,reason,webViewLink
1,01_READY,16BsO80aFm-fvhgpS4hKXZLQdZqyCa0Jq,1_mobi #03.mp4,1hwJZvfAjzipJ037Orrmih0DWZOs5tPI6,CAR_BR_BR_VID_SUPER_OFERTA_NV_010.mp4,26ece428dbcaded6d3dad1e4d84a7c10baa3e8acce4267c482d324e28e8d161b,e7101100bda08d0edd057c36c0c4f183f1e28580a9ee7b1d75f618f8657d7ef3,7769510,True,True,True,NO_PERSON,NV,SUPER_OFERTA,010,OFERTA DA SEMANA; SEM ENTRADA; R$199/MÊS,,https://drive.google.com/file/d/1hwJZvfAjzipJ037Orrmih0DWZOs5tPI6/view?usp=drivesdk
2,01_READY,1qW0NB5MKBiTwfSmdli-mPBemj99G603b,2_mobi #02.mp4,1Jq5nSnVaXngttw8AyGhnQJ3HkmasP6Ja,CAR_BR_BR_VID_SUPER_OFERTA_NV_011.mp4,bcb25a53ad1c67561b6f10b14758545330891dc2070e78dfe0ad75d53cc0be7a,f494b13e1bc67467e5749757a51ff437f8632fc4866fb5f959cf203c8884aba0,7125533,True,True,True,NO_PERSON,NV,SUPER_OFERTA,011,OFERTA DA SEMANA; SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/1Jq5nSnVaXngttw8AyGhnQJ3HkmasP6Ja/view?usp=drivesdk
3,01_READY,1lG08XA_yUj8X1pbUHTRdBlwvUjiBKsV2,3_story #1#.mp4,17YmciwBYnXEfuFQzRuH6ipkQE9yZppqX,CAR_BR_BR_VID_ELETRICO_SEM_ENTRADA_NV_005.mp4,5a70d3b518da6b5d69780a5a62c19af356c48fb3b67c8451375f8b804a01fb3d,634d7321492c70180e2df5a84cd12277e39744ad484578e40f40998f80a6aec7,8258708,True,True,True,NO_PERSON,NV,ELETRICO_SEM_ENTRADA,005,CARRO ELÉTRICO; SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/17YmciwBYnXEfuFQzRuH6ipkQE9yZppqX/view?usp=drivesdk
4,01_READY,1JGpq4qYXFIZZihvlpZoNOhgLG2oHCqov,4_#1#.mp4,1ZZ6XgbtxlFUz4OvSEI8lI5MFXN9s46Q8,CAR_BR_BR_VID_SEM_ENTRADA_NV_033.mp4,6918c477c9068249759891613e13bb9d095982496a1714835746611632deeada,0343e0390830a6715d5dd3a7a71ea126adea0017eefa7029a8e2de9b8775b342,20308203,True,True,True,NO_PERSON,NV,SEM_ENTRADA,033,SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/1ZZ6XgbtxlFUz4OvSEI8lI5MFXN9s46Q8/view?usp=drivesdk
5,01_READY,1Slg_Y0epsHI7Oa07doosaqV8HU5Ukdrv,5_carro BR 6.mp4,1JhyeFnUgDtqeN7Ova9vgvkC9eSHBqkog,CAR_BR_BR_VID_SEM_ENTRADA_PV_016.mp4,94c1e7ff13c0bf618964e52d25f612dca10227367f92248f1ffebb29d1b63601,15fefafdd4aa92f15c2c1dac47d5606254f6d5aef6dff273b40ee5c813e5ad4e,14870044,True,True,True,PERSON,PV,SEM_ENTRADA,016,SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/1JhyeFnUgDtqeN7Ova9vgvkC9eSHBqkog/view?usp=drivesdk
6,01_READY,1DpB79cD1Qccd7hFNqRqAr0oMFUYDP0cw,6_#3#.mp4,1uBM9eisQgq3E6V-rmHuEuJ3MMkt3PN0w,CAR_BR_BR_VID_PARCELAS_BAIXAS_NV_002.mp4,43c0dd16f486eaefdf4cb16d9ebe1d194583c6604f512794b99b20e78bcfb77b,ad8f7165d0b1adcde7ad5b52b7321ef031cd0b5e9ae9e025cf907311c84a5905,16036997,True,True,True,NO_PERSON,NV,PARCELAS_BAIXAS,002,OPORTUNIDADE; COM PARCELA,,https://drive.google.com/file/d/1uBM9eisQgq3E6V-rmHuEuJ3MMkt3PN0w/view?usp=drivesdk
7,01_READY,18R7PukxQhorRX2BA7g26SDrvggMfrKQj,7_#2#.mp4,1QDvx03x9C5IKpnsAfQkU3ZJvTbliit--,CAR_BR_BR_VID_SEM_ENTRADA_NV_034.mp4,925e9411c7023ca1a94b287a460f829cf340411e0f2379b67170b2ff0d6cc4a2,308f2282a07ba26ad9161d0be0c9d412da13f83ab4cb3d33bced128414cfaf1d,15808472,True,True,True,NO_PERSON,NV,SEM_ENTRADA,034,SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/1QDvx03x9C5IKpnsAfQkU3ZJvTbliit--/view?usp=drivesdk
8,01_READY,1rlqhMCIVnIiA-ppzh2Lhu0R4S57F833L,8_carro BR 5.mp4,1sg3zHktiPtfXF_s54-MjZEOfVa5jbCyh,CAR_BR_BR_VID_ELETRICO_SEM_ENTRADA_PV_005.mp4,eb7df058426e544cfaefc68869e9e4500351f65678875fb4970f44bf2811a9d6,810e7a5b95dfd9e414c96fff1dc530c71f08ae2d247321faead2c89e17152825,13283206,True,True,True,PERSON,PV,ELETRICO_SEM_ENTRADA,005,CARRO ELÉTRICO SUSTENTÁVEL; COM PARCELA,,https://drive.google.com/file/d/1sg3zHktiPtfXF_s54-MjZEOfVa5jbCyh/view?usp=drivesdk
9,01_READY,1-P-uqt8CEPfumtnWzduQsBFlbGTgOROC,9_carro BR 1.mp4,1ZEHaV7RmZfukL7-kJt3KjGttA0UdmOeP,CAR_BR_BR_VID_SEM_ENTRADA_PV_017.mp4,ca17538fe54977723850be4329ef72f3bb4a67350bc34f64bfcb82103866440b,d5fc4c6fa97225608d181a2cb763b06cdbb7458e73d58420ba1f814775d7a317,12940867,True,True,True,PERSON,PV,SEM_ENTRADA,017,SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/1ZEHaV7RmZfukL7-kJt3KjGttA0UdmOeP/view?usp=drivesdk
10,01_READY,1PvvHp6DXRw2Yd5cs_wiG2GhbzDjLzp1B,10_car BR @03.mp4,1iM-Re6A44unPnMpp5459vfDe4efMUoRR,CAR_BR_BR_VID_SEM_ENTRADA_NV_035.mp4,829b9b9e1d1e789f9ff4f85b906b359d1ba5258ca9efb75261db01284981ea3e,fa11d9723855ace762bc37095bfc2cfdf142ed018cd07f2a2688661ec91d73c0,12038110,True,True,True,NO_PERSON,NV,SEM_ENTRADA,035,SEM ENTRADA; R$299/MÊS,,https://drive.google.com/file/d/1iM-Re6A44unPnMpp5459vfDe4efMUoRR/view?usp=drivesdk
