idx,drive_id_sha256_12,old_name_expected,old_name_actual_before,new_name,parent_count,status,verified_name_after,error,auth_mode
585,38e75463c63f,81 - IA - Story Ingles__DAHEyoXZkq8.mp4,81 - IA - Story Ingles__DAHEyoXZkq8.mp4,CC_US_EN_VID_APROBACION_PV_78.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_78.mp4,,oauth_user
586,4dd08e27bcc1,81 - Story (Ingles)__DAG5KKLvJgQ.mp4,81 - Story (Ingles)__DAG5KKLvJgQ.mp4,CC_US_EN_VID_APROBACION_NV_90.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_90.mp4,,oauth_user
587,88664b781790,81 - Story Ingles.mp4,81 - Story Ingles.mp4,CC_US_EN_VID_APROBACION_NV_91.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_91.mp4,,oauth_user
588,6a9cbf8e8d2f,81 - Story ingles__DAGgJ5tinhA.mp4,81 - Story ingles__DAGgJ5tinhA.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_24.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_24.mp4,,oauth_user
590,cae0644d1dec,82 - Story Ingles.mp4,82 - Story Ingles.mp4,CC_US_EN_VID_APROBACION_NV_92.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_92.mp4,,oauth_user
591,f8fe5f0cf484,82 - Story ingles__DAGgJ_DUguE.mp4,82 - Story ingles__DAGgJ_DUguE.mp4,CC_US_EN_VID_RECOMPENSAS_NV_10.mp4,1,RENAMED,CC_US_EN_VID_RECOMPENSAS_NV_10.mp4,,oauth_user
592,f708c68aaba5,83 - IA - Story Ingles__DAHE3WUgob8.mp4,83 - IA - Story Ingles__DAHE3WUgob8.mp4,CC_US_EN_VID_APROBACION_PV_79.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_79.mp4,,oauth_user
593,ff41e43ada3e,83 - Story ingles__DAGgax-jTs0.mp4,83 - Story ingles__DAGgax-jTs0.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_25.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_25.mp4,,oauth_user
594,18d5b23b14bd,84 - IA - Story Ingles__DAHE9V1EplU.mp4,84 - IA - Story Ingles__DAHE9V1EplU.mp4,CC_US_EN_VID_APROBACION_PV_80.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_80.mp4,,oauth_user
595,e07b627384f9,84 - Story (Ingles) +2 RM GP Story há 6 meses.mp4,84 - Story (Ingles) +2 RM GP Story há 6 meses.mp4,CC_US_EN_VID_APROBACION_NV_93.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_93.mp4,,oauth_user
596,7807b9222cbf,84 - Story (Ingles)__DAG5Ktj61zU.mp4,84 - Story (Ingles)__DAG5Ktj61zU.mp4,CC_US_EN_VID_APROBACION_NV_94.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_94.mp4,,oauth_user
597,bd2817fbf4ab,84 - Story ingles__DAGhX5DshFg.mp4,84 - Story ingles__DAGhX5DshFg.mp4,CC_US_EN_VID_RECOMPENSAS_PV_02.mp4,1,RENAMED,CC_US_EN_VID_RECOMPENSAS_PV_02.mp4,,oauth_user
598,1f5150ace4e2,85 - IA - Story Ingles__DAHE9Z-saeg.mp4,85 - IA - Story Ingles__DAHE9Z-saeg.mp4,CC_US_EN_VID_APROBACION_PV_81.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_81.mp4,,oauth_user
599,f369f955ec8e,85 - Story Ingles__DAG6RReFjsw.mp4,85 - Story Ingles__DAG6RReFjsw.mp4,CC_US_EN_VID_APROBACION_NV_95.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_95.mp4,,oauth_user
600,2ab37558ba22,85 - Story ingles__DAGhXqaGbd0.mp4,85 - Story ingles__DAGhXqaGbd0.mp4,CC_US_EN_VID_LIMITE_ALTO_NV_41.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_NV_41.mp4,,oauth_user
601,9df553dd8832,86 - IA - Story Ingles__DAHE9dzFvbI.mp4,86 - IA - Story Ingles__DAHE9dzFvbI.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_26.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_26.mp4,,oauth_user
602,363166874294,86 - Story Ingles__DAG6Rs-dbYY.mp4,86 - Story Ingles__DAG6Rs-dbYY.mp4,CC_US_EN_VID_APROBACION_NV_96.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_96.mp4,,oauth_user
603,6cffcbad8905,86 - Story ingles__DAGi1oYEoR0.mp4,86 - Story ingles__DAGi1oYEoR0.mp4,CC_US_EN_VID_RECOMPENSAS_NV_11.mp4,1,RENAMED,CC_US_EN_VID_RECOMPENSAS_NV_11.mp4,,oauth_user
604,fb23e8c4691c,87 - IA - Story Ingles__DAHE9rfkaEU.mp4,87 - IA - Story Ingles__DAHE9rfkaEU.mp4,CC_US_EN_VID_APROBACION_PV_82.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_82.mp4,,oauth_user
605,07daef99ab9a,87 - Story (ingles)__DAGi2i1qxvo.mp4,87 - Story (ingles)__DAGi2i1qxvo.mp4,CC_US_EN_VID_RECOMPENSAS_NV_12.mp4,1,RENAMED,CC_US_EN_VID_RECOMPENSAS_NV_12.mp4,,oauth_user
606,830f236213e8,87 - Story Ingles__DAG92OzNJ2k.mp4,87 - Story Ingles__DAG92OzNJ2k.mp4,CC_US_EN_VID_APROBACION_NV_97.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_97.mp4,,oauth_user
607,1cd75507cf46,87 - Story ingles__DAG6RnbS_tc.mp4,87 - Story ingles__DAG6RnbS_tc.mp4,CC_US_EN_VID_APROBACION_NV_98.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_98.mp4,,oauth_user
608,1d18b4d0a3da,88 - IA - Story Ingles__DAHE9gzjt7s.mp4,88 - IA - Story Ingles__DAHE9gzjt7s.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_27.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_27.mp4,,oauth_user
609,c70a67316106,88 - Story Espanhol__DAG37oHUs0w.mp4,88 - Story Espanhol__DAG37oHUs0w.mp4,CC_US_ES_VID_LIMITE_ALTO_PV_16.mp4,1,RENAMED,CC_US_ES_VID_LIMITE_ALTO_PV_16.mp4,,oauth_user
610,d695f6ee883f,88 - Story Ingles__DAG8XSx54Jk.mp4,88 - Story Ingles__DAG8XSx54Jk.mp4,CC_US_EN_VID_APROBACION_NV_99.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NV_99.mp4,,oauth_user
612,fc29f4207f39,88 - Story english__DAG38RI1dvA.mp4,88 - Story english__DAG38RI1dvA.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_28.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_28.mp4,,oauth_user
613,c40f062babf7,88 - Story ingles__DAGi2wB4lnQ.mp4,88 - Story ingles__DAGi2wB4lnQ.mp4,CC_US_EN_VID_RECOMPENSAS_NV_13.mp4,1,RENAMED,CC_US_EN_VID_RECOMPENSAS_NV_13.mp4,,oauth_user
614,47dea27280be,89 - IA - Story Ingles__DAHFDTJ_rDs.mp4,89 - IA - Story Ingles__DAHFDTJ_rDs.mp4,CC_US_EN_VID_APROBACION_PV_83.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_83.mp4,,oauth_user
616,63ba6998069a,89 - Story ingles.mp4,89 - Story ingles.mp4,CC_US_EN_VID_RECOMPENSAS_NV_14.mp4,1,RENAMED,CC_US_EN_VID_RECOMPENSAS_NV_14.mp4,,oauth_user
617,f723fb6b2ec1,89 - Story ingles__DAG8Xe6Aowg.mp4,89 - Story ingles__DAG8Xe6Aowg.mp4,CC_US_EN_VID_APROBACION_PV_84.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_84.mp4,,oauth_user
618,8b40e16ebdeb,90 - Story ingles.mp4,90 - Story ingles.mp4,CC_US_EN_VID_LIMITE_ALTO_NV_42.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_NV_42.mp4,,oauth_user
619,9f5e62ad592d,91 - IA - Story Ingles__DAHGSwSv5Bs.mp4,91 - IA - Story Ingles__DAHGSwSv5Bs.mp4,CC_US_EN_VID_APROBACION_PV_85.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_85.mp4,,oauth_user
620,98a6fa15ed71,91 - Story ingles.mp4,91 - Story ingles.mp4,CC_US_EN_VID_RECOMPENSAS_NV_15.mp4,1,RENAMED,CC_US_EN_VID_RECOMPENSAS_NV_15.mp4,,oauth_user
621,b474b1b63acd,92 - IA - Story Ingles__DAHGTFVB574.mp4,92 - IA - Story Ingles__DAHGTFVB574.mp4,CC_US_EN_VID_APROBACION_PV_86.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_86.mp4,,oauth_user
623,a42dc9e293d7,94 - IA - Story Ingles__DAHGTKWaYu0.mp4,94 - IA - Story Ingles__DAHGTKWaYu0.mp4,CC_US_EN_VID_APROBACION_PV_87.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_87.mp4,,oauth_user
625,52743283c2b9,95 - IA - Story Ingles__DAHGTb33e3Q.mp4,95 - IA - Story Ingles__DAHGTb33e3Q.mp4,CC_US_EN_VID_APROBACION_PV_88.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_88.mp4,,oauth_user
627,3fd666b1251e,96 - IA - Story Ingles__DAHGTW5FO7c.mp4,96 - IA - Story Ingles__DAHGTW5FO7c.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_29.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_29.mp4,,oauth_user
630,b40e1578afd6,98 - Story Ingles__DAGjr9_ddm0.mp4,98 - Story Ingles__DAGjr9_ddm0.mp4,CC_US_EN_VID_LIMITE_ALTO_NV_43.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_NV_43.mp4,,oauth_user
632,cd48fa82e902,99 - story espanhol__DAG_HPLL32U.mp4,99 - story espanhol__DAG_HPLL32U.mp4,CC_US_ES_VID_APROBACION_PV_40.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_PV_40.mp4,,oauth_user
636,e15389ab3da0,Copia de 50 - Story Espanhol__DAGz5oe-5S8.mp4,Copia de 50 - Story Espanhol__DAGz5oe-5S8.mp4,CC_US_ES_VID_LIMITE_ALTO_NV_19.mp4,1,RENAMED,CC_US_ES_VID_LIMITE_ALTO_NV_19.mp4,,oauth_user
637,198e6f6ecb4e,Copy of 03 - Story ( Ingles ) +2 RM GP Story há 11 meses.mp4,Copy of 03 - Story ( Ingles ) +2 RM GP Story há 11 meses.mp4,CC_US_EN_VID_APROBACION_PV_89.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_PV_89.mp4,,oauth_user
639,069a31d67015,Criativo 1 - Zytiva ES - 01.mp4,Criativo 1 - Zytiva ES - 01.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_30.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_30.mp4,,oauth_user
640,0a053a0a4c66,Criativo 1 - Zytiva ES - 02.mp4,Criativo 1 - Zytiva ES - 02.mp4,CC_US_ES_VID_LIMITE_ALTO_PV_17.mp4,1,RENAMED,CC_US_ES_VID_LIMITE_ALTO_PV_17.mp4,,oauth_user
641,4f0309768515,Criativo 1 - Zytiva ES - 03.mp4,Criativo 1 - Zytiva ES - 03.mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_01.mp4,1,RENAMED,CC_MX_ES_VID_LIMITE_ALTO_PV_01.mp4,,oauth_user
642,3f6f504e77d2,Criativo 2 - GB - 1.mp4,Criativo 2 - GB - 1.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_31.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_31.mp4,,oauth_user
643,3971911d7953,Criativo 2 - GB - 2.mp4,Criativo 2 - GB - 2.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_32.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_32.mp4,,oauth_user
644,1d52b92c9676,Criativo 2 - GB - 3.mp4,Criativo 2 - GB - 3.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_33.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_33.mp4,,oauth_user
645,16d62300b36f,Criativo 2 - GB - 4.mp4,Criativo 2 - GB - 4.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_34.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_34.mp4,,oauth_user
646,c3351173d189,Criativo 2 - GB - 5.mp4,Criativo 2 - GB - 5.mp4,CC_US_EN_VID_LIMITE_ALTO_PV_35.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_PV_35.mp4,,oauth_user
651,94fecaaaca36,LIMITES DISPONIBLES__DAG_3L677Cg.mp4,LIMITES DISPONIBLES__DAG_3L677Cg.mp4,CC_US_ES_VID_APROBACION_PV_41.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_PV_41.mp4,,oauth_user
652,3600530befd1,alemao-01-stories.mp4,alemao-01-stories.mp4,CC_DE_DE_VID_LIMITE_ALTO_NV_08.mp4,1,RENAMED,CC_DE_DE_VID_LIMITE_ALTO_NV_08.mp4,,oauth_user
654,90466b9cf738,novo-01-stories.mp4,novo-01-stories.mp4,CC_US_ES_VID_APROBACION_NV_75.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NV_75.mp4,,oauth_user
655,52c1bedfbf43,novo-02-stories.mp4,novo-02-stories.mp4,CC_US_ES_VID_LIMITE_ALTO_NV_20.mp4,1,RENAMED,CC_US_ES_VID_LIMITE_ALTO_NV_20.mp4,,oauth_user
656,2d8d153a69a4,novo-03-stories.mp4,novo-03-stories.mp4,CC_US_ES_VID_APROBACION_NV_76.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NV_76.mp4,,oauth_user
662,ab68f3341a6e,44 - IA - Story KELLY Mexico__DAHGGa51bLE.mp4,44 - IA - Story KELLY Mexico__DAHGGa51bLE.mp4,CC_DE_DE_VID_APROBACION_PV_11.mp4,1,RENAMED,CC_DE_DE_VID_APROBACION_PV_11.mp4,,oauth_user
