ts_utc,status,source_drive_id,source_filename,destination_filename,destination_folder,dest_drive_id,dest_webViewLink,bytes_clean,source_sha256,clean_sha256,clean,harmful_tags_before,harmful_tags_after,operation,country,language,vertical,format,placement_fit,angle,p_orient,created_by,requested_by,source,used_by,campaign_owner,notes,error
2026-07-07T15:52:47.197767+00:00,SKIPPED_EXISTS,1UFptUVBiojHXrURIpUV4WQMyry3qGcAl,12_23 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_012.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,18n_vHp47AzMcAo6pqsdCNYvLcbeio6Mu,https://drive.google.com/file/d/18n_vHp47AzMcAo6pqsdCNYvLcbeio6Mu/view?usp=drivesdk,12602336,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197770+00:00,SKIPPED_EXISTS,1LjDC-Jfg557dd1spPaC4LYyOiRhC3q9X,13_06 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_013.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1S7SpjUdNj0M9NU3dTrNjoIYkN4GMNZQT,https://drive.google.com/file/d/1S7SpjUdNj0M9NU3dTrNjoIYkN4GMNZQT/view?usp=drivesdk,13616802,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197773+00:00,SKIPPED_EXISTS,1KiWGfcqenumHv7VTRzLxMpR5L3kuftWg,14_04  - IA - Story Financiamento(Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_014.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1g6sIms2603Bxl6A5sUfF9315UE7IoHjL,https://drive.google.com/file/d/1g6sIms2603Bxl6A5sUfF9315UE7IoHjL/view?usp=drivesdk,11253513,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197776+00:00,SKIPPED_EXISTS,1oa6jA0x19jXBKQYPGOvN35t8hqasLtix,15_21 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_015.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1hZbq2Z95KIJD09cLtt3lmKINL4RH9htI,https://drive.google.com/file/d/1hZbq2Z95KIJD09cLtt3lmKINL4RH9htI/view?usp=drivesdk,14421147,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197779+00:00,SKIPPED_EXISTS,119wysqbfRId3d8MihRiYOcWathdZmjul,16_17 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_016.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1bi8_EYHd60rkwRUldRn2c3dcugInxQMi,https://drive.google.com/file/d/1bi8_EYHd60rkwRUldRn2c3dcugInxQMi/view?usp=drivesdk,13265661,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197781+00:00,SKIPPED_EXISTS,1RLRs50XVbu0KctI5_JyvabNZNNCVSH4m,17_22 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_017.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1oX-INi9BrPVFM5tVtyxZQOtzq8-55m7K,https://drive.google.com/file/d/1oX-INi9BrPVFM5tVtyxZQOtzq8-55m7K/view?usp=drivesdk,9923021,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197784+00:00,SKIPPED_EXISTS,1VXeB_p7GgQC8mB5UvNxVAOczBwgvyiRQ,18_03  - IA - Story Financiamento(Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_018.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1m5NyeeDjcHrgKgBPaFuDkKBSCTkqKVp6,https://drive.google.com/file/d/1m5NyeeDjcHrgKgBPaFuDkKBSCTkqKVp6/view?usp=drivesdk,11548819,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197787+00:00,SKIPPED_EXISTS,1f55MGtmaUFjjYUD9bzQVrJOkZccLPtps,19_11 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_019.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1DDOPUV3EzQ1aPxYMowhzewa1E5nFXcjH,https://drive.google.com/file/d/1DDOPUV3EzQ1aPxYMowhzewa1E5nFXcjH/view?usp=drivesdk,12926616,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197790+00:00,SKIPPED_EXISTS,1fNTq3m_pazbfr70fM6GXsiMS88QHfNJJ,20_12 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_020.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1Xiddpd300hRI3sAElSm6z_3YjzSYbHtc,https://drive.google.com/file/d/1Xiddpd300hRI3sAElSm6z_3YjzSYbHtc/view?usp=drivesdk,12928039,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197793+00:00,SKIPPED_EXISTS,1bKIuBiUsg86kN2fNgJoXiSB4bwHAFf-W,21_07 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_021.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1ycObgrPF5y027Kj9c4rzXQWnFUrAMGdo,https://drive.google.com/file/d/1ycObgrPF5y027Kj9c4rzXQWnFUrAMGdo/view?usp=drivesdk,13170123,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197796+00:00,SKIPPED_EXISTS,1DJ9anmAstxxKapILjB0_3XvP4u41ydpm,22_08 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_022.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,13sNvg4jaGCAKJT4KD8ETyY2Q1zOOxs88,https://drive.google.com/file/d/13sNvg4jaGCAKJT4KD8ETyY2Q1zOOxs88/view?usp=drivesdk,11160111,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
2026-07-07T15:52:47.197799+00:00,SKIPPED_EXISTS,1eSgnAgox5g6Ckophv5yZ2Joy3yAceq_k,23_09 - IA - Story Financiamento (Brasil).mp4,CAR_BR_PT_VID_FINANCIAMENTO_SEM_ENTRADA_PV_023.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_PT/VID/01_READY,1JKm5ViJu5UNhMQly6qR5eVHe3-Nfx58E,https://drive.google.com/file/d/1JKm5ViJu5UNhMQly6qR5eVHe3-Nfx58E/view?usp=drivesdk,11415994,,,,,,CAR_BR_PT,BR,PT,CAR,VID,STORY,FINANCIAMENTO_SEM_ENTRADA,PV,UNKNOWN,Kelly Nice,HUMAN_UPLOAD_DRIVE_UPLOAD_MANUAL,UNKNOWN,UNKNOWN,Original mantido em UPLOAD MANUAL; vídeo vertical com pessoa/apresentador; ângulo dominante financiamento sem entrada/parcelas.,
